,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
10,2022-07-25 21:29:00,7/25/2022 21:32,IP Address,100,234,True,7/25/2022 21:32,R_1cUEOwvshV3OjzF,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,390x844,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Once a week,,arm1_control,62c2fe8e258e63b33c8d7324,62c2fe8e258e63b33c8d7324,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:32,7/25/2022 21:33,IP Address,100,42,True,7/25/2022 21:33,R_1guNjo2j9uR8h0x,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",Hispanic,Graduate or professional degree,42.0,Female,True,Scam,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/25/2022 21:35,7/25/2022 21:36,IP Address,100.0,86.0,True,7/25/2022 21:36,R_24nMS9oxH0qHMkA,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services,Other",Not Sure,,No,Not Sure,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,2,3.0,0.0,Keep,False,False,24,False
12,2022-07-25 21:31:00,7/25/2022 21:34,IP Address,100,192,True,7/25/2022 21:34,R_2U3CjAZciVHNHGK,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,390x844,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Once a month,,arm1_control,611547dcc45adf9a07c60aea,611547dcc45adf9a07c60aea,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:34,7/25/2022 21:35,IP Address,100,30,True,7/25/2022 21:35,R_1mI57TJM1P6rygp,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Some college but no degree,40.0,Male,True,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,,,,Scam,,,True,False,7/25/2022 21:36,7/25/2022 21:37,IP Address,100.0,56.0,True,7/25/2022 21:37,R_1HjbS3DMnjdQG0A,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,Yes,Some of the time,Hardly ever,Hardly ever,,True,1,True,True,False,1,0,1.0,0.0,Test Results are Incomplete,False,,24,False
13,2022-07-25 21:31:00,7/25/2022 21:35,IP Address,100,235,True,7/25/2022 21:35,R_DdS2Xr2EIgKYzcd,,,,,anonymous,EN,,Yes,,Chrome,99.0.4844.83,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Once a month,,arm1_control,610b164074738771ef9acb0a,610b164074738771ef9acb0a,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:35,7/25/2022 21:36,IP Address,100,63,True,7/25/2022 21:36,R_2w6obSpBHhFE6Fo,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Hispanic,"High school degree or equivalent (e.g., GED)",22.0,Female,True,Real,,,Real,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,Details,Scam,,,Scam,,,True,True,7/25/2022 21:43,7/25/2022 21:44,IP Address,100.0,69.0,True,7/25/2022 21:44,R_1GD2NONsljtvago,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,3,2.0,0.0,Keep,False,False,24,False
11,2022-07-25 21:32:00,7/25/2022 21:33,IP Address,100,71,True,7/25/2022 21:33,R_1gApWIWPF81Jruj,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,Once a month,,arm4_interactive,5f1273feb9ddf60dd2781b2f,5f1273feb9ddf60dd2781b2f,1,0,Scam,,,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Scam,,,Real,,Details,True,True,7/25/2022 21:35,7/25/2022 21:35,IP Address,100,20,True,7/25/2022 21:35,R_1Y57bEK00PDsl8d,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,21.0,Female,True,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,Details,Real,,,Scam,,,Scam,,,True,True,7/25/2022 21:36,7/25/2022 21:36,IP Address,100.0,33.0,True,7/25/2022 21:36,R_3kpONdPPwrhGhKB,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,0,0.0,0.0,Too Fast,False,,24,False
15,2022-07-25 21:33:00,7/25/2022 21:37,IP Address,100,254,True,7/25/2022 21:37,R_27HcVqphhh48FNW,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree,Slightly Disagree,Once a year,,arm1_control,610af9910c4d079d84e855f4,610af9910c4d079d84e855f4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:37,7/25/2022 21:39,IP Address,100,76,True,7/25/2022 21:39,R_3PLlo46E5Q33PPc,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",Hispanic,Some college but no degree,20.0,Male,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/25/2022 21:43,7/25/2022 21:45,IP Address,100.0,88.0,True,7/25/2022 21:45,R_3NJ8hScgm2aFqq0,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,4,3.0,0.0,Keep,False,False,24,False
16,2022-07-25 21:34:00,7/25/2022 21:38,IP Address,100,244,True,7/25/2022 21:38,R_2eXyQyQBu7S5OB4,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,384x854,Quite a lot,Basically content,Just about always,Government should do more to solve problems.,Agree,Slightly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Once a week,,arm4_interactive,5e5023405c27990580d81c72,5e5023405c27990580d81c72,4,0,Real,,,Real,,,Scam,,,Real,Click,,Real,Click,,Scam,,,Real,,Details,Real,,,True,True,7/25/2022 21:43,7/25/2022 21:44,IP Address,100,48,True,7/25/2022 21:44,R_1lB7VFytmEmpdrf,,,,,anonymous,EN,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,61.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,Details,Scam,,,Real,,,True,True,7/25/2022 21:47,7/25/2022 21:48,IP Address,100.0,68.0,True,7/25/2022 21:48,R_2rwrTy5HRjuoPOK,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,2,2.0,0.0,Keep,False,False,24,False
18,2022-07-25 21:34:00,7/25/2022 21:39,IP Address,100,309,True,7/25/2022 21:39,R_1FOCvTctbjSAyWJ,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,A few times a year,,arm4_interactive,6013771e88f6992532013e14,6013771e88f6992532013e14,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/25/2022 21:47,7/25/2022 21:48,IP Address,100,49,True,7/25/2022 21:48,R_3fSLToY807tG4E5,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,48.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,7/25/2022 21:55,7/25/2022 21:57,IP Address,100.0,136.0,True,7/25/2022 21:57,R_CdbJfH9uM6nymY1,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,2,4.0,0.0,Keep,False,False,24,False
14,2022-07-25 21:35:00,7/25/2022 21:36,IP Address,100,91,True,7/25/2022 21:36,R_1EaPacd3vnzhaWV,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,None at all,Frustrated,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,,arm4_interactive,62de7a8c1895ac984c0e0720,62de7a8c1895ac984c0e0720,3,0,Real,,,Real,,,Scam,,Details,Real,,,Scam,,,Real,,,Real,,Details,Real,,Details,True,True,7/25/2022 21:39,7/25/2022 21:39,IP Address,100,20,True,7/25/2022 21:39,R_3L7IDrb4dJVbI5z,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",Hispanic,Bachelor degree,,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,7/25/2022 21:40,7/25/2022 21:41,IP Address,100.0,43.0,True,7/25/2022 21:41,R_3hayyYiMEOpDwoK,,,,,anonymous,EN,Someone claiming to be from the Social Security Administration (but wasn't),No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,0,0.0,0.0,Too Fast,False,,24,False
17,2022-07-25 21:36:00,7/25/2022 21:39,IP Address,100,157,True,7/25/2022 21:39,R_3hrQ5m59Yc6Vejj,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1440x960,Quite a lot,Basically content,Most of the time,Government is doing too many things better left to businesses and individuals.,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,A few times a week / Daily,,arm1_control,62df54d52a9e3743753d27db,62df54d52a9e3743753d27db,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:39,7/25/2022 21:40,IP Address,100,53,True,7/25/2022 21:40,R_us93BRuIvZl4JLr,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,39.0,Male,True,Real,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/25/2022 21:41,7/25/2022 21:42,IP Address,100.0,70.0,True,7/25/2022 21:42,R_1oHDumLlCi8OdkR,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't)",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,3,2.0,0.0,Keep,False,False,24,False
20,2022-07-25 21:36:00,7/25/2022 21:41,IP Address,100,283,True,7/25/2022 21:41,R_2Y567qKcdDhTLJb,,,,,anonymous,EN,,Yes,,Chrome iPhone,103.0.5060.63,iPhone,390x844,Some,Frustrated,Most of the time,Government should do more to solve problems.,Agree,Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5de579912238364fcdf1a97d,5de579912238364fcdf1a97d,3,0,Real,,,Real,,,Scam,,,Real,,,Real,Click,,Real,,,Real,,,Real,Click,Details,True,True,7/25/2022 21:45,7/25/2022 21:46,IP Address,100,28,True,7/25/2022 21:46,R_6yQvND9PlpbgMox,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",Hispanic,Bachelor degree,25.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,,,,,Real,,,True,False,7/25/2022 21:50,7/25/2022 21:50,IP Address,100.0,53.0,True,7/25/2022 21:51,R_21Gm4C5OLh3AgDY,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,0,1.0,0.0,Test Results are Incomplete,False,,24,False
25,2022-07-25 21:38:00,7/25/2022 21:43,IP Address,100,312,True,7/25/2022 21:43,R_3JntyrReu1BOmhW,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,2048x1152,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,A few times a week / Daily,,arm4_interactive,5e5dba9e3d60470d71dde9ef,5e5dba9e3d60470d71dde9ef,3,0,Real,,,Real,,,Scam,,,Real,,,Real,Click,,Real,,,Real,,Details,Real,,Details,True,True,7/25/2022 21:48,7/25/2022 21:49,IP Address,100,90,True,7/25/2022 21:49,R_1PcrxjJ6J1yDFAh,,,,,anonymous,EN,"Not employed, NOT looking for work","$0 - $19,999",African American or African (Non-Hispanic),Some college but no degree,21.0,Female,True,Real,,,Real,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,,,,,Real,,,True,False,7/25/2022 21:54,7/25/2022 21:56,IP Address,100.0,85.0,True,7/25/2022 21:56,R_3kNDGSq2P4J0HBL,,,,,anonymous,EN,"Someone selling fraudulent goods or services,Other",No,,No,No,Some of the time,Often,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,4,3.0,0.0,Test Results are Incomplete,False,,24,False
22,2022-07-25 21:38:00,7/25/2022 21:42,IP Address,100,210,True,7/25/2022 21:42,R_1E3P6FtzeygLca5,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Once a week,,arm1_control,6086f32713011a558998c7aa,6086f32713011a558998c7aa,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:42,7/25/2022 21:43,IP Address,100,52,True,7/25/2022 21:43,R_3kIiaD0Yx0R1jXt,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,37.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Scam,,,Scam,,,True,True,7/25/2022 21:49,7/25/2022 21:50,IP Address,100.0,67.0,True,7/25/2022 21:50,R_OPCfY7NjDvm25QB,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,2,2.0,0.0,Keep,False,False,24,False
19,2022-07-25 21:38:00,7/25/2022 21:41,IP Address,100,133,True,7/25/2022 21:41,R_Dv4t2uJMi515fDb,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 10,360x740,Very little,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Disagree,Slightly Agree,Agree,Slightly Agree,Strongly Agree,Disagree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Once a month,,arm1_control,61115c76a6032b5860f19bc5,61115c76a6032b5860f19bc5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/25/2022 21:41,7/25/2022 21:41,IP Address,100,48,True,7/25/2022 21:41,R_1LBZtQjuzhaJgy0,,,,,anonymous,EN,"Not employed, looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,29.0,Female,True,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,7/25/2022 21:43,7/25/2022 21:44,IP Address,100.0,45.0,True,7/25/2022 21:44,R_3yN88UyiaXpimBj,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,2,0.0,0.0,Keep,False,False,24,False
23,2022-07-25 21:39:00,7/25/2022 21:42,IP Address,100,179,True,7/25/2022 21:42,R_3oYfr9JVXnDDqHI,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,390x844,Some,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a week,,arm4_interactive,60fccaa975fed18e9ed82b13,60fccaa975fed18e9ed82b13,3,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,True,True,7/25/2022 21:46,7/25/2022 21:46,IP Address,100,28,True,7/25/2022 21:46,R_1NzaoJ3Eb6hQjf7,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,21.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,,,,Real,,,True,False,7/25/2022 21:49,7/25/2022 21:50,IP Address,100.0,43.0,True,7/25/2022 21:50,R_3PAaAxlvX7f4kz8,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,0,0.0,0.0,Test Results are Incomplete,False,,24,False
24,2022-07-25 21:39:00,7/25/2022 21:42,IP Address,100,174,True,7/25/2022 21:42,R_1JJY0vqCUFZjklF,,,,,anonymous,EN,,Yes,,Firefox,102,Windows NT 10.0,3440x1440,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Disagree,Strongly Disagree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,60db15cf0e54e22740b0f7e0,60db15cf0e54e22740b0f7e0,4,0,Scam,Click,Details,Real,Click,,Scam,,Details,Real,,,Scam,,,Real,,,Real,,Details,Real,,Details,True,True,7/25/2022 21:46,7/25/2022 21:46,IP Address,100,37,True,7/25/2022 21:46,R_3EgmIHeu98KVqC5,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",33.0,Male,True,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,Details,,,,Real,,,True,False,7/25/2022 21:48,7/25/2022 21:50,IP Address,100.0,104.0,True,7/25/2022 21:50,R_0NXPd5xCzf86NTX,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,1,3.0,0.0,Test Results are Incomplete,False,,24,False
21,2022-07-25 21:39:00,7/25/2022 21:41,IP Address,100,171,True,7/25/2022 21:41,R_2OZKCspCJ5AKSZ4,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,A few times a week / Daily,,arm4_interactive,610881256b500e6b59e8d58d,610881256b500e6b59e8d58d,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/25/2022 21:43,7/25/2022 21:43,IP Address,100,34,True,7/25/2022 21:43,R_egSD1K6S7dBVGBX,,,,,anonymous,EN,"Not employed, NOT looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,40.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,,,,Real,,,True,False,7/25/2022 21:45,7/25/2022 21:45,IP Address,100.0,48.0,True,7/25/2022 21:46,R_5gRyRb168OvAtHj,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,1,0.0,0.0,Test Results are Incomplete,False,,24,False
