,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_medicareReview,Correct_benefitsSuspension,Correct_replacementCard,percentCorrect
20,2022-07-26 22:11:00,7/26/2022 22:16,IP Address,100,267,True,7/26/2022 22:16,R_OI493lQgrp1KCDT,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 10,360x757,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Disagree,Agree,Disagree,Disagree,Slightly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a month,,arm1_control,62a8ac9179d53762a0a19da2,62a8ac9179d53762a0a19da2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:16,7/26/2022 22:17,IP Address,100.0,87.0,True,7/26/2022 22:17,R_3NWZG6sfyop2DSZ,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Associate degree,38.0,Female,True,Real,,,Real,Click,,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 22:20,7/26/2022 22:21,IP Address,100.0,81.0,True,7/26/2022 22:21,R_2QKu7KHqdtEN7lv,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,True,False,3,4.0,3.0,0.0,Keep,False,False,24,False,10,W,U,14,38.0,1.0,1444.0,2.302585092994046,7,1.6,4.625,4,2.6666666666666665,5,3,2,3,2,1,3,1,0,2,3,0,1,1,2,6,4,0,True,False,True,False,True,True,False,False,True,False,50.0
26,2022-07-26 22:16:00,7/26/2022 22:19,IP Address,100,238,True,7/26/2022 22:19,R_1SOyzEeSauHTSgh,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,CrOS x86_64 14695.85.0,1366x768,None at all,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Strongly Disagree,Disagree,Slightly Disagree,Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,A few times a year,,arm4_interactive,629642bfde2bf56c1ec2a420,629642bfde2bf56c1ec2a420,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 22:23,7/26/2022 22:24,IP Address,100.0,42.0,True,7/26/2022 22:24,R_3Olas27QnZoRXkR,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),Other",Some college but no degree,36.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:27,7/26/2022 22:29,IP Address,100.0,76.0,True,7/26/2022 22:29,R_8pFdd3Yzdu6hBNT,,,,,anonymous,EN,"Someone selling fraudulent goods or services,Other",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,1.0,3.0,0.0,Keep,False,False,24,False,10,"White or Caucasian (Non-Hispanic),Other",U,13,36.0,1.0,1296.0,2.302585092994046,5,3.1,2.25,A few times a year,2.0,9,0,1,4,5,4,4,1,0,5,4,2,2,2,2,4,6,0,True,True,True,True,True,True,True,False,True,True,90.0
25,2022-07-26 22:16:00,7/26/2022 22:19,IP Address,100,218,True,7/26/2022 22:19,R_1OC3QHHq8EfpGYt,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1600x900,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.,Slightly Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a year,,arm4_interactive,5fd15934025b991384ef1116,5fd15934025b991384ef1116,0,0,Real,Click,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,True,True,7/26/2022 22:24,7/26/2022 22:25,IP Address,100.0,55.0,True,7/26/2022 22:25,R_1nSJJB14cdvXgEK,,,,,anonymous,EN,Retired,"$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,38.0,Male,True,Real,,,Real,,,Real,,,Scam,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 22:28,7/26/2022 22:29,IP Address,100.0,93.0,True,7/26/2022 22:29,R_cUzojesfuX7ATjr,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,2.0,4.0,0.0,Keep,False,False,24,False,70,W,R,13,38.0,0.0,1444.0,4.248495242049359,12,4.6,3.75,A few times a year,1.0,4,3,3,2,2,0,3,1,0,3,1,0,0,2,1,5,5,0,True,False,True,True,False,False,False,False,True,False,40.0
27,2022-07-26 22:19:00,7/26/2022 22:25,IP Address,100,395,True,7/26/2022 22:25,R_vddbpb7PZJLwdhv,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1368x912,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Disagree,Once a month,,arm1_control,6111d9b2a1cae8c593eb0c52,6111d9b2a1cae8c593eb0c52,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:25,7/26/2022 22:28,IP Address,100.0,139.0,True,7/26/2022 22:28,R_3fNlT7tFN6PKwz6,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",Hispanic,Bachelor degree,25.0,Female,True,Real,,,Real,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Scam,,,Scam,,,Scam,,Details,True,True,7/26/2022 22:36,7/26/2022 22:37,IP Address,100.0,95.0,True,7/26/2022 22:37,R_1NyTfDT2VEh3B2t,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Hardly ever,Often,"Yes, use the responses.",True,1,True,True,False,4,4.0,4.0,0.0,Keep,False,False,24,False,60,H,E,16,25.0,1.0,625.0,4.0943445622221,9,4.5,3.75,4,2.0,6,2,2,3,3,1,4,1,0,3,3,0,1,2,2,5,5,0,True,False,True,True,True,True,False,False,True,False,60.0
28,2022-07-26 22:20:00,7/26/2022 22:26,IP Address,100,340,True,7/26/2022 22:26,R_dmS33ezKI6QQQ7v,,,,,anonymous,EN,,Yes,,Edge,103.0.1264.71,Windows NT 10.0,1920x1080,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Disagree,A few times a year,,arm4_interactive,62e0532289a4e5d9fedadde1,62e0532289a4e5d9fedadde1,0,1,Real,,,Real,,,Scam,,Details,Real,Click,,Real,Click,,Real,,,Scam,,Details,Real,Click,,True,True,7/26/2022 22:31,7/26/2022 22:32,IP Address,100.0,56.0,True,7/26/2022 22:32,R_1yQA5yqwOAJZ5mN,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",39.0,Male,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,Click,,Scam,,,Real,,,Scam,,,Real,,,True,True,7/26/2022 22:37,7/26/2022 22:38,IP Address,100.0,97.0,True,7/26/2022 22:38,R_1BWKMrbtuzlG8AT,,,,,anonymous,EN,Other,Yes,25,No,No,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,True,True,3,3.0,4.0,0.0,Keep,False,False,24,False,30,W,E,12,39.0,0.0,1521.0,3.4011973816621555,7,4.0,1.875,A few times a year,2.6666666666666665,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
30,2022-07-26 22:24:00,7/26/2022 22:26,IP Address,100,156,True,7/26/2022 22:26,R_UtgyrPe4HWw5aVP,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,412x915,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,Once a month,,arm4_interactive,5a92e1eeb5e2110001c670f0,5a92e1eeb5e2110001c670f0,0,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,True,True,7/26/2022 22:30,7/26/2022 22:30,IP Address,100.0,29.0,True,7/26/2022 22:30,R_3MtjSBHLJOyxMsY,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,29.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Real,,,True,True,7/26/2022 22:32,7/26/2022 22:33,IP Address,100.0,45.0,True,7/26/2022 22:33,R_1IB1NWD1mBsGJTb,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,0.0,0.0,0.0,Keep,False,False,24,False,60,W,U,16,29.0,1.0,841.0,4.0943445622221,8,5.9,3.375,4,2.0,7,2,1,4,3,2,4,1,0,4,3,1,1,2,2,6,4,0,True,False,True,True,True,True,False,False,True,True,70.0
31,2022-07-26 22:24:00,7/26/2022 22:27,IP Address,100,155,True,7/26/2022 22:27,R_sEYmQbQ1Ex5b9Jv,,,,,anonymous,EN,,Yes,,Opera,85.0.4341.79,Windows NT 10.0,1920x1080,Very little,Angry,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Once a week,,arm1_control,62df08eda6b90956f6c9a399,62df08eda6b90956f6c9a399,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:27,7/26/2022 22:28,IP Address,100.0,54.0,True,7/26/2022 22:28,R_2CTwtFeHKBKQR7C,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",28.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 22:32,7/26/2022 22:33,IP Address,100.0,75.0,True,7/26/2022 22:33,R_3QXhpGHC0Xkcqep,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,$30 ,No,Yes,Often,Often,Often,"Yes, use the responses.",True,1,True,True,True,0,2.0,2.0,0.0,Keep,False,False,24,False,30,W,E,12,28.0,0.0,784.0,3.4011973816621555,5,3.0,4.0,5,3.0,9,1,0,5,4,3,4,2,0,5,4,1,2,2,2,6,4,0,True,True,True,True,True,True,False,True,True,True,90.0
33,2022-07-26 22:24:00,7/26/2022 22:28,IP Address,100,260,True,7/26/2022 22:28,R_sUpA1eyierUHTyx,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,62b237568978f68ad2b6f7c8,62b237568978f68ad2b6f7c8,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:28,7/26/2022 22:28,IP Address,100.0,33.0,True,7/26/2022 22:28,R_1NDgOFkw2go3gwX,,,,,anonymous,EN,"Not employed, looking for work","$80,000 - $99,999",Hispanic,Some college but no degree,27.0,Other,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 22:32,7/26/2022 22:33,IP Address,100.0,70.0,True,7/26/2022 22:33,R_1OpJQCdufUlM3jm,,,,,anonymous,EN,,,,,No,Often,Often,Often,"Yes, use the responses.",True,1,True,False,False,2,0.0,2.0,0.0,Keep,False,False,24,False,90,H,U,13,27.0,,729.0,4.499809670330265,7,4.0,3.875,A few times a year,3.0,9,1,0,5,4,3,4,2,0,5,4,1,2,2,2,6,4,0,True,True,True,True,True,True,False,True,True,True,90.0
56,2022-07-26 22:27:00,7/26/2022 22:41,IP Address,100,874,True,7/26/2022 22:41,R_3JdUDkRWoW3DogH,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Very little,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Once a week,,arm1_control,61083ea02faf92a662d63727,61083ea02faf92a662d63727,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:41,7/26/2022 22:42,IP Address,100.0,61.0,True,7/26/2022 22:42,R_1q51IVYOyeBu4ve,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",Hispanic,Bachelor degree,24.0,Female,True,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 22:45,7/26/2022 22:46,IP Address,100.0,94.0,True,7/26/2022 22:46,R_2wnveFsMvIkgupN,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,4,3.0,4.0,0.0,Keep,False,False,24,False,60,H,E,16,24.0,1.0,576.0,4.0943445622221,6,4.8,2.875,5,2.0,5,1,4,1,4,1,3,1,0,3,2,1,0,1,2,2,8,0,True,False,False,True,False,True,True,False,True,False,50.0
38,2022-07-26 22:27:00,7/26/2022 22:30,IP Address,100,212,True,7/26/2022 22:30,R_tW2oFFGwb2Jhj5T,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Angry,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Agree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm1_control,62e08666d7083fafba16272a,62e08666d7083fafba16272a,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:30,7/26/2022 22:31,IP Address,100.0,53.0,True,7/26/2022 22:31,R_2bPPaRtPgsO3rbt,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,36.0,Male,True,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/26/2022 22:36,7/26/2022 22:37,IP Address,100.0,78.0,True,7/26/2022 22:37,R_C1TErv9e9aXmLIt,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,2.0,3.0,0.0,Keep,False,False,24,False,30,W,E,13,36.0,0.0,1296.0,3.4011973816621555,8,4.0,3.625,4,2.0,8,2,0,5,3,3,3,2,0,4,4,1,2,1,2,7,3,0,True,True,True,False,True,True,False,True,True,True,80.0
34,2022-07-26 22:27:00,7/26/2022 22:29,IP Address,100,141,True,7/26/2022 22:29,R_1eXhhrD0Hg2G7A9,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x720,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Neither Agree nor Disagree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Once a week,,arm1_control,60fefe3dad1a06e0b0a85712,60fefe3dad1a06e0b0a85712,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:29,7/26/2022 22:30,IP Address,100.0,34.0,True,7/26/2022 22:30,R_1Pe0TnbTwAl38Ma,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,24.0,Female,True,Real,,,Real,,,Real,Click,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/26/2022 22:33,7/26/2022 22:34,IP Address,100.0,61.0,True,7/26/2022 22:34,R_1kRoA3OfWqsVppy,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,0,1.0,1.0,0.0,Keep,False,False,24,False,70,W,E,16,24.0,1.0,576.0,4.248495242049359,7,5.4,4.375,5,1.0,6,4,0,5,1,2,2,2,0,4,2,1,1,1,1,9,1,0,True,False,True,False,True,False,False,True,True,True,60.0
36,2022-07-26 22:27:00,7/26/2022 22:30,IP Address,100,133,True,7/26/2022 22:30,R_2ffjl4fmh0OuJyd,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,412x892,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Once a week,,arm4_interactive,610e6880f784d836a872a9a5,610e6880f784d836a872a9a5,4,0,Real,,Details,Real,Click,,Scam,,Details,Real,,,Real,,,Scam,,,Real,,Details,Scam,,Details,True,True,7/26/2022 22:32,7/26/2022 22:33,IP Address,100.0,36.0,True,7/26/2022 22:33,R_31aQ7HTZPdB69T5,,,,,anonymous,EN,"Not employed, NOT looking for work","$150,000 or more",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",37.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Scam,,,Scam,,,Real,,Details,True,True,7/26/2022 22:36,7/26/2022 22:37,IP Address,100.0,69.0,True,7/26/2022 22:37,R_1KeEXop24E8K84Q,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,No,No,Some of the time,Often,Often,"Yes, use the responses.",True,1,True,True,False,0,1.0,2.0,0.0,Keep,False,False,24,False,175,W,U,12,37.0,1.0,1369.0,5.1647859739235145,8,1.5,4.25,5,2.6666666666666665,8,1,1,4,4,3,4,1,0,4,4,1,2,2,2,5,5,0,True,True,True,True,True,True,False,False,True,True,80.0
40,2022-07-26 22:29:00,7/26/2022 22:31,IP Address,100,150,True,7/26/2022 22:31,R_3JwrLtAnw8NXOkK,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Slightly Disagree,Disagree,Once a month,,arm4_interactive,6108afcf86f7bed4f9d194a6,6108afcf86f7bed4f9d194a6,4,0,Real,,,Real,,,Scam,,Details,Real,,,Real,,,Real,Click,,Real,,Details,Real,,Details,True,True,7/26/2022 22:34,7/26/2022 22:34,IP Address,100.0,29.0,True,7/26/2022 22:35,R_28M1blgekgtINF9,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,19.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,True,True,7/26/2022 22:38,7/26/2022 22:38,IP Address,100.0,43.0,True,7/26/2022 22:38,R_3GcTkBkWWkEDr23,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Often,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,0.0,0.0,0.0,Keep,False,False,24,False,125,W,E,13,19.0,0.0,361.0,4.8283137373023015,8,2.1,3.125,4,2.3333333333333335,9,1,0,5,4,4,3,2,0,6,3,2,2,2,1,6,4,0,True,True,True,True,True,False,True,True,True,True,90.0
42,2022-07-26 22:29:00,7/26/2022 22:33,IP Address,100,232,True,7/26/2022 22:33,R_UyUhFdKckNRoijL,,,,,anonymous,EN,,Yes,,Chrome,103.0.5060.134,Windows NT 10.0,1920x1080,Very little,Angry,Never,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,,arm1_control,559b1e92fdf99b426abb6227,559b1e92fdf99b426abb6227,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 22:33,7/26/2022 22:34,IP Address,100.0,58.0,True,7/26/2022 22:34,R_5A7M1TjyiMjv4Ih,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",42.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,Real,,Details,True,True,7/26/2022 22:41,7/26/2022 22:43,IP Address,100.0,85.0,True,7/26/2022 22:43,R_2rVIBSDk9URvp9G,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,3.0,3.0,0.0,Keep,False,False,24,False,60,W,E,12,42.0,0.0,1764.0,4.0943445622221,5,,3.5,4,1.6666666666666667,7,3,0,5,2,3,3,1,0,4,3,1,2,2,1,8,2,0,True,True,True,True,True,False,False,True,False,True,70.0
