,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_replacementCard,Correct_benefitsSuspension,Correct_medicareReview,percentCorrect
20,2022-07-24 19:51:00,7/24/2022 19:55,IP Address,100,243,True,7/24/2022 19:55,R_3fxT7viAXRa5PG6,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,360x800,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Once a month,,arm4_interactive,5f02444bdf28dd3ced120e0b,5f02444bdf28dd3ced120e0b,3,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,True,True,7/24/2022 19:58,7/24/2022 19:58,IP Address,100,43,True,7/24/2022 19:58,R_Z9SZbii2xR6jCz7,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",Asian American or Asian,Some college but no degree,21.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,7/24/2022 20:01,7/24/2022 20:02,IP Address,100.0,61.0,True,7/24/2022 20:02,R_3npzhvygr6GmDr4,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,2,1.0,0.0,Keep,False,False,24,False,30,A,U,13,21.0,1.0,441.0,3.4011973816621555,9,4.3,2.625,4,2.0,9,0,1,4,5,4,4,1,0,5,4,2,2,2,2,4,6,0,True,True,True,True,True,True,True,True,True,False,90.0
22,2022-07-24 19:51:00,7/24/2022 19:56,IP Address,100,286,True,7/24/2022 19:56,R_Q039wWZc23ltiUx,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,412x892,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,A few times a week / Daily,,arm4_interactive,60e90f4266d9d0bf0a17d2bf,60e90f4266d9d0bf0a17d2bf,0,0,Real,,,Real,,,Scam,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/24/2022 19:59,7/24/2022 20:00,IP Address,100,41,True,7/24/2022 20:00,R_3RqHDys8KZOGFHq,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999",Asian American or Asian,Associate degree,41.0,Other,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,True,True,7/24/2022 20:02,7/24/2022 20:03,IP Address,100.0,95.0,True,7/24/2022 20:03,R_1nPB2d9IICQrTKw,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,True,False,3,1,3.0,0.0,Keep,False,False,24,False,10,A,U,14,41.0,,1681.0,2.302585092994046,9,2.6,1.125,A few times a week / Daily,2.6666666666666665,8,1,1,4,4,3,4,1,0,4,4,1,2,2,2,5,5,0,True,True,True,True,True,True,False,True,True,False,80.0
23,2022-07-24 19:52:00,7/24/2022 19:56,IP Address,100,196,True,7/24/2022 19:56,R_vMLxUzvFBj5Qkh3,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,375x812,Some,Frustrated,Most of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Once a month,,arm1_control,5ee6b328e96056095324e6f5,5ee6b328e96056095324e6f5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 19:56,7/24/2022 19:56,IP Address,100,34,True,7/24/2022 19:56,R_27rIs7GcVvclSFe,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,35.0,Female,True,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,7/24/2022 19:58,7/24/2022 19:58,IP Address,100.0,49.0,True,7/24/2022 19:58,R_DV1UBBaZVWHOleF,,,,,anonymous,EN,Someone claiming to be from the company where you work (but wasn't),No,,Not Sure,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,1,1.0,0.0,Keep,False,False,24,False,90,W,E,18,35.0,1.0,1225.0,4.499809670330265,10,4.7,3.375,4,1.0,5,3,2,3,2,1,3,1,0,2,3,0,1,1,2,6,4,0,True,False,True,False,True,True,False,False,True,False,50.0
25,2022-07-24 19:53:00,7/24/2022 19:57,IP Address,100,204,True,7/24/2022 19:57,R_8jL16STRoGTIIqR,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Strongly Disagree,Agree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Disagree,A few times a year,,arm4_interactive,61071ccc7bbfb546048d8b82,61071ccc7bbfb546048d8b82,3,0,Real,,,Real,,,Scam,,Details,Real,Click,,Real,,,Real,,,Scam,,Details,Scam,,Details,True,True,7/24/2022 20:00,7/24/2022 20:00,IP Address,100,33,True,7/24/2022 20:00,R_DCpDYGORs1i65Wh,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,22.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Scam,,,Scam,,,Real,,,True,True,7/24/2022 20:04,7/24/2022 20:05,IP Address,100.0,56.0,True,7/24/2022 20:05,R_AtXvEjD6KGfwyw9,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,0,1.0,0.0,Keep,False,False,24,False,30,W,E,16,22.0,1.0,484.0,3.4011973816621555,7,4.2,3.125,A few times a year,2.0,7,2,1,4,3,2,3,2,0,4,3,0,2,2,1,6,4,0,True,True,True,True,True,False,False,False,True,True,70.0
29,2022-07-24 19:56:00,7/24/2022 19:59,IP Address,100,213,True,7/24/2022 19:59,R_31gwNOJbd6qayVh,,,,,anonymous,EN,,Yes,,Chrome,103.0.5060.134,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Once a month,,arm4_interactive,62dc62a4a898b6caf66c299d,62dc62a4a898b6caf66c299d,3,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Real,Click,Details,True,True,7/24/2022 20:03,7/24/2022 20:04,IP Address,100,35,True,7/24/2022 20:04,R_3GiCrxRleTGL84d,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",18.0,Male,True,Real,,,Real,,Details,Real,,,Scam,,,Real,,,Scam,,,Real,,Details,Real,,Details,Scam,,,Real,,,True,True,7/24/2022 20:06,7/24/2022 20:07,IP Address,100.0,61.0,True,7/24/2022 20:07,R_Rmn7pNMStE6YuOJ,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,True,False,2,1,1.0,0.0,Keep,False,False,24,False,175,W,U,12,18.0,0.0,324.0,5.1647859739235145,8,5.3,4.875,4,2.6666666666666665,8,2,0,5,3,2,4,2,0,5,3,1,1,2,2,7,3,0,True,False,True,True,True,True,False,True,True,True,80.0
31,2022-07-24 19:56:00,7/24/2022 20:01,IP Address,100,244,True,7/24/2022 20:01,R_3MPXNa3MpEJrgQr,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Once a month,,arm4_interactive,5c070a6576781b0001c82633,5c070a6576781b0001c82633,3,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Real,,Details,True,True,7/24/2022 20:04,7/24/2022 20:05,IP Address,100,36,True,7/24/2022 20:05,R_25YfKzSyV0jIujG,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",34.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,,True,True,7/24/2022 20:08,7/24/2022 20:10,IP Address,100.0,79.0,True,7/24/2022 20:10,R_1C2NEvOdUFVH73o,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,1,3.0,0.0,Keep,False,False,24,False,30,W,E,12,34.0,0.0,1156.0,3.4011973816621555,8,3.8,3.125,4,2.0,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,100.0
33,2022-07-24 19:58:00,7/24/2022 20:02,IP Address,100,244,True,7/24/2022 20:02,R_324w49F2uqcsoBg,,,,,anonymous,EN,,Yes,,Edge,103.0.1264.71,Windows NT 10.0,1360x768,Quite a lot,Frustrated,Just about always,Government should do more to solve problems.,Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Disagree,Agree,Agree,Agree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a week,,arm1_control,5a6d0432d5d4cb0001d66aa1,5a6d0432d5d4cb0001d66aa1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 20:02,7/24/2022 20:03,IP Address,100,49,True,7/24/2022 20:03,R_3MoLK28u4u3crNI,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",47.0,Male,True,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,True,True,7/24/2022 20:05,7/24/2022 20:07,IP Address,100.0,84.0,True,7/24/2022 20:07,R_1ZFoo7G7rSGalqh,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,2,3.0,0.0,Keep,False,False,24,False,60,W,E,12,47.0,0.0,2209.0,4.0943445622221,12,3.9,5.0,5,1.0,5,2,3,2,3,1,2,2,0,4,1,1,0,1,1,4,6,0,True,False,False,True,False,False,True,False,True,True,50.0
32,2022-07-24 19:59:00,7/24/2022 20:02,IP Address,100,158,True,7/24/2022 20:02,R_3MoO6JnNrNaOx7w,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,CrOS aarch64 14816.99.0,1366x768,Some,Frustrated,Most of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Once a month,,arm1_control,61643da0ffad2d01e7b988b5,61643da0ffad2d01e7b988b5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 20:02,7/24/2022 20:04,IP Address,100,151,True,7/24/2022 20:04,R_2zl5Mf2J5qz2D9s,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,57.0,Female,True,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/24/2022 20:07,7/24/2022 20:09,IP Address,100.0,65.0,True,7/24/2022 20:09,R_1CjTolkyP1FKCak,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,0,4,2.0,0.0,Keep,False,False,24,False,90,W,E,18,57.0,1.0,3249.0,4.499809670330265,10,6.0,4.125,4,1.3333333333333333,5,3,2,3,2,2,2,1,0,3,2,1,1,1,1,6,4,0,True,False,True,False,True,False,True,False,True,False,50.0
35,2022-07-24 20:00:00,7/24/2022 20:03,IP Address,100,141,True,7/24/2022 20:03,R_T7qK9dxDfxpaeVr,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,CrOS x86_64 14816.99.0,1536x864,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree,Agree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Once a week,,arm1_control,5f3449937104763434c56067,5f3449937104763434c56067,4,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 20:03,7/24/2022 20:04,IP Address,100,53,True,7/24/2022 20:04,R_2RWGwBd3EyOf2HI,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,31.0,Male,True,Real,,,Real,Click,Details,Real,,,Real,,,Real,,Details,Scam,,,Real,,Details,Real,,Details,Scam,,,Scam,,,True,True,7/24/2022 20:06,7/24/2022 20:07,IP Address,100.0,59.0,True,7/24/2022 20:07,R_3fdGcZsdGn7UiCF,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,2,1.0,0.0,Keep,False,False,24,False,70,W,U,16,31.0,0.0,961.0,4.248495242049359,9,5.8,3.75,5,1.6666666666666667,6,3,1,4,2,2,3,1,0,3,3,1,1,1,2,7,3,0,True,False,True,False,True,True,False,True,True,False,60.0
41,2022-07-24 20:01:00,7/24/2022 20:05,IP Address,100,230,True,7/24/2022 20:05,R_3O05hAmFfSffedv,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,393x851,Some,Basically content,Most of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Agree,Disagree,Agree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,A few times a week / Daily,,arm1_control,5ea5af918f52a85a290fbf18,5ea5af918f52a85a290fbf18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 20:05,7/24/2022 20:06,IP Address,100,52,True,7/24/2022 20:06,R_6VWtx6ry0LKD2Ux,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,40.0,Male,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/24/2022 20:08,7/24/2022 20:10,IP Address,100.0,97.0,True,7/24/2022 20:10,R_XHsn5oPV7boqY01,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,2,3.0,0.0,Keep,False,False,24,False,175,W,E,16,40.0,0.0,1600.0,5.1647859739235145,11,5.1,4.25,A few times a week / Daily,1.6666666666666667,8,2,0,5,3,2,4,2,0,5,3,1,1,2,2,7,3,0,True,False,True,True,True,True,False,True,True,True,80.0
37,2022-07-24 20:01:00,7/24/2022 20:04,IP Address,100,163,True,7/24/2022 20:04,R_2rovTmkH8491ipI,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Agree,Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Once a month,,arm1_control,62d59223edd51db9cf85d68d,62d59223edd51db9cf85d68d,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 20:04,7/24/2022 20:05,IP Address,100,63,True,7/24/2022 20:05,R_UhgvTshwLFFKKkN,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,28.0,Male,True,Real,,,Real,,Details,Real,,,Real,,,Real,,Details,Scam,,,Scam,,Details,Scam,,,Scam,,,Scam,,,True,True,7/24/2022 20:12,7/24/2022 20:16,IP Address,100.0,230.0,True,7/24/2022 20:16,R_12f4dw3hMd4oUTc,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,3,4.0,0.0,Keep,False,False,24,False,90,W,E,16,28.0,0.0,784.0,4.499809670330265,9,2.2,4.5,4,1.0,6,2,2,3,3,2,3,1,0,3,3,1,1,1,2,5,5,0,True,False,True,False,True,True,True,False,True,False,60.0
38,2022-07-24 20:02:00,7/24/2022 20:04,IP Address,100,160,True,7/24/2022 20:04,R_1NzhzYh4gQqdNkx,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Once a week,,arm1_control,614f297f566989948fc108ad,614f297f566989948fc108ad,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 20:04,7/24/2022 20:05,IP Address,100,37,True,7/24/2022 20:05,R_1iebTWIy7GeKkJC,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,38.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/24/2022 20:07,7/24/2022 20:08,IP Address,100.0,50.0,True,7/24/2022 20:08,R_3w4qQuPR45POTxD,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,Yes,Yes,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,1,1,1.0,0.0,Keep,False,False,24,False,70,W,E,18,38.0,1.0,1444.0,4.248495242049359,6,3.5,3.875,5,3.0,8,2,0,5,3,2,4,2,0,5,3,1,1,2,2,7,3,0,True,False,True,True,True,True,False,True,True,True,80.0
42,2022-07-24 20:02:00,7/24/2022 20:06,IP Address,100,221,True,7/24/2022 20:06,R_2f28LNTdHkEJVhE,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,412x915,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,A few times a week / Daily,,arm1_control,62bc7cc9df0899cedbbca571,62bc7cc9df0899cedbbca571,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/24/2022 20:06,7/24/2022 20:06,IP Address,100,49,True,7/24/2022 20:06,R_PUwCGjznwgbEUI9,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,27.0,Male,True,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,True,True,7/24/2022 20:08,7/24/2022 20:09,IP Address,100.0,66.0,True,7/24/2022 20:09,R_1guq5HZx0r5peFa,,,,,anonymous,EN,Other,No,,No,Yes,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,2,2.0,0.0,Keep,False,False,24,False,175,W,E,16,27.0,0.0,729.0,5.1647859739235145,9,4.5,4.5,A few times a week / Daily,1.3333333333333333,7,2,1,4,3,3,3,1,0,4,3,1,2,2,1,6,4,0,True,True,True,True,True,False,False,True,True,False,70.0
39,2022-07-24 20:02:00,7/24/2022 20:04,IP Address,100,130,True,7/24/2022 20:04,R_3MDtEhAaMOT5pvZ,,,,,anonymous,EN,,Yes,,Safari iPhone,14.1.1,iPhone,375x667,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Once a month,,arm4_interactive,560ff9897ffc8a000f8112ff,560ff9897ffc8a000f8112ff,0,0,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Real,,,Real,,,True,True,7/24/2022 20:07,7/24/2022 20:07,IP Address,100,35,True,7/24/2022 20:07,R_3ER4Cj7vOterx0m,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,55.0,Female,True,Scam,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/24/2022 20:08,7/24/2022 20:09,IP Address,100.0,31.0,True,7/24/2022 20:09,R_3NKGuga0HDEIMQB,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,0,1,0.0,0.0,Keep,False,False,24,False,30,W,E,18,55.0,1.0,3025.0,3.4011973816621555,12,5.8,4.0,4,1.0,7,2,1,4,3,3,2,2,0,4,3,1,2,1,1,6,4,0,False,True,True,False,True,True,False,True,True,True,70.0
