StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,PID
7/30/2022 7:32,7/30/2022 7:33,100,88,TRUE,7/30/2022 7:33,R_10x7RMGYq4kAt82,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Hardly ever,Often,"Yes, use the responses.",5c0a22affe40eb00016262b6
7/30/2022 7:33,7/30/2022 7:34,100,52,TRUE,7/30/2022 7:34,R_TpJfGa0Qy33m4s9,Someone claiming to be from the IRS (but wasn't),No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",60fda3339a276aeae02c05e9
7/30/2022 7:37,7/30/2022 7:37,100,37,TRUE,7/30/2022 7:37,R_e4MLEgC9HKGUlwd,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5484821efdf99b07b28f2300
7/30/2022 7:38,7/30/2022 7:38,100,48,TRUE,7/30/2022 7:38,R_PYcXS2rUa0z5Yt3,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Not Sure,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",605363bb60479c6e682fa925
7/30/2022 7:37,7/30/2022 7:39,100,92,TRUE,7/30/2022 7:39,R_5AvprOWplsiyEiR,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",60edcedc047ee38cb8bb2a0d
7/30/2022 7:38,7/30/2022 7:40,100,87,TRUE,7/30/2022 7:40,R_1jfT1K2hzqduczJ,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Often,Often,Often,"Yes, use the responses.",611a3e5985d4fa727e274b38
7/30/2022 7:39,7/30/2022 7:40,100,48,TRUE,7/30/2022 7:40,R_3EzjUc1KLvr0dPC,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Hardly ever,Hardly ever,Often,"Yes, use the responses.",61fa94735719bc09cb834f49
7/30/2022 7:40,7/30/2022 7:41,100,65,TRUE,7/30/2022 7:41,R_1KexMT10QFOQduG,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Often,Some of the time,"Yes, use the responses.",60e3072a6e09025d10fdcb5e
7/30/2022 7:40,7/30/2022 7:41,100,75,TRUE,7/30/2022 7:41,R_2Vr5sHhuY27iEMh,Someone claiming to be from another government agency (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",610933fa1d369f7bb87b05ec
7/30/2022 7:43,7/30/2022 7:44,100,97,TRUE,7/30/2022 7:44,R_27WreYmBK2SaQoK,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",614ddc2c999c9ee21fa84355
7/30/2022 7:39,7/30/2022 7:45,100,356,TRUE,7/30/2022 7:45,R_2qemJRd0SgFaMZm,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5a9e841089de8200013f28d3
7/30/2022 7:47,7/30/2022 7:48,100,50,TRUE,7/30/2022 7:48,R_2VqAthFnFR3HEuC,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",6229dbd104c9cf8c397853cb
7/30/2022 7:48,7/30/2022 7:49,100,74,TRUE,7/30/2022 7:49,R_OMNQWXKAxJ12BhL,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",62a36469aa54a53fcfcc27d2
7/30/2022 7:48,7/30/2022 7:49,100,67,TRUE,7/30/2022 7:49,R_12Q1Xm5U15auwhR,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5e718b4d2471fc0ba76997a5
7/30/2022 7:49,7/30/2022 7:50,100,40,TRUE,7/30/2022 7:50,R_yU2UuNBKDl2hcQ1,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Often,"Yes, use the responses.",61086bf229f70faa16a47e58
7/30/2022 7:48,7/30/2022 7:50,100,125,TRUE,7/30/2022 7:50,R_Dvkx7G4OW4KpR2p,,,,,No,Often,Some of the time,Often,"Yes, use the responses.",5fba33b03b6dfc99242ba0a7
7/30/2022 7:51,7/30/2022 7:51,100,34,TRUE,7/30/2022 7:51,R_2107cYoFFHKAY9m,,,,,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",610ed1ac68f6c344f9a8b17d
7/30/2022 7:50,7/30/2022 7:51,100,69,TRUE,7/30/2022 7:51,R_pgRgGOiY9JmG677,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",6026aaab6d051201e5e6adbc
7/30/2022 7:52,7/30/2022 7:53,100,86,TRUE,7/30/2022 7:53,R_2qt60HMVfxEIaPe,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5e26762aa8c1118a9d578c4d
7/30/2022 7:52,7/30/2022 7:53,100,58,TRUE,7/30/2022 7:53,R_2U02rH8n7KiJeEQ,Someone claiming to be from the IRS (but wasn't),No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5f0b7f45bd7f5a0e21a8b561
7/30/2022 7:53,7/30/2022 7:54,100,45,TRUE,7/30/2022 7:54,R_3dEuSB5VeBofXsf,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",62e3ea3dbade9cf532ebebfe
7/30/2022 7:53,7/30/2022 7:54,100,66,TRUE,7/30/2022 7:54,R_3G0s5obDT78nQDs,Someone claiming to be from the IRS (but wasn't),No,,Yes,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5ea6d2679255fb04b664b12d
7/30/2022 7:54,7/30/2022 7:54,100,58,TRUE,7/30/2022 7:54,R_1HhgD38hMl2dq8G,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from the company where you work (but wasn't)",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",60fce31d926b2ab20551bb0b
7/30/2022 7:54,7/30/2022 7:55,100,103,TRUE,7/30/2022 7:55,R_3Gl9xmHowxAl9E0,Someone otherwise claiming to be from an organization or group they weren't really from,No,,Not Sure,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",608aede3203836ab453453a0
7/30/2022 7:54,7/30/2022 7:56,100,97,TRUE,7/30/2022 7:56,R_1rwSlu5XpjpG7x6,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Often,Some of the time,Some of the time,"Yes, use the responses.",61009ba434c15cd5dc4a3044
7/30/2022 7:56,7/30/2022 7:57,100,57,TRUE,7/30/2022 7:57,R_x8T3F63F8XFWFZT,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5928cbac80a86200013f3732
7/30/2022 7:56,7/30/2022 7:57,100,55,TRUE,7/30/2022 7:57,R_10xfoihu6KnrxJT,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",59f5c7f405d1d60001f14399
7/30/2022 7:56,7/30/2022 7:57,100,51,TRUE,7/30/2022 7:57,R_1Of1PA6lSgAQGOt,Someone claiming to be from the Social Security Administration (but wasn't),No,,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",6103391c3f6db1c809680920
7/30/2022 7:57,7/30/2022 7:58,100,44,TRUE,7/30/2022 7:58,R_UVZrLUm2QhmXbkl,Someone selling fraudulent goods or services,No,,No,Yes,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",5f2cd0a20311ef1f1700528f
7/30/2022 7:57,7/30/2022 7:58,100,98,TRUE,7/30/2022 7:58,R_2pLzuxuUiRPXOSU,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",622dfef5cce6b4d9bb203698
7/30/2022 7:58,7/30/2022 7:59,100,67,TRUE,7/30/2022 7:59,R_2X1IVfvbWsuqW6K,Other,No,,No,No,Hardly ever,Hardly ever,Often,"Yes, use the responses.",5d57062817ee8d0001cda0f6
7/30/2022 7:59,7/30/2022 8:00,100,33,TRUE,7/30/2022 8:00,R_2axBHqKl7kvT8bv,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",6103494acb49b118fdcf2db5
7/30/2022 7:58,7/30/2022 8:00,100,103,TRUE,7/30/2022 8:00,R_Td9NhUKDznpHcQx,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",6150676e5c75d00e40216f08
7/30/2022 7:58,7/30/2022 8:00,100,142,TRUE,7/30/2022 8:00,R_UhkOcfU89AV8T6x,Someone claiming to be from the IRS (but wasn't),No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",62896076149e8f156545884c
7/30/2022 7:59,7/30/2022 8:01,100,78,TRUE,7/30/2022 8:01,R_2ToWYbaMsnyexvI,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",598a37f8efe76a00018ea9fe
7/30/2022 8:00,7/30/2022 8:01,100,56,TRUE,7/30/2022 8:01,R_3OixSmGl8xvTn6d,Someone claiming to be from the IRS (but wasn't),No,,No,Yes,Some of the time,Often,Often,"Yes, use the responses.",5c44c4e73be7b70001fd7312
7/30/2022 7:58,7/30/2022 8:01,100,174,TRUE,7/30/2022 8:01,R_2WHUzE1hNToQQ66,Someone claiming to be from another government agency (but wasn't),No,,Yes,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",61326b9c9231e5c9889e030d
7/30/2022 8:00,7/30/2022 8:02,100,87,TRUE,7/30/2022 8:02,R_1lrFXPfJChJpmxm,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",Yes,2000,Yes,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5c8be0dd542fbd0016924f5f
7/30/2022 8:01,7/30/2022 8:02,100,74,TRUE,7/30/2022 8:02,R_9M3G3fDV25SHL5D,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",62952201fa2b4996b7a66f3d
7/30/2022 8:01,7/30/2022 8:02,100,54,TRUE,7/30/2022 8:02,R_2VDRb4CQDDNGzge,,,,,Yes,Some of the time,Some of the time,Often,"Yes, use the responses.",5ea95ca4936cd3035f7e3e3a
7/30/2022 8:03,7/30/2022 8:03,100,50,TRUE,7/30/2022 8:03,R_2R9Umuq8QqgQIiw,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",610b665dfa80ae760e927f8e
7/30/2022 8:03,7/30/2022 8:04,100,44,TRUE,7/30/2022 8:04,R_3IcT3ZT53Tt3PWP,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",612810b001fe6cd5e7786c39
7/30/2022 8:03,7/30/2022 8:04,100,64,TRUE,7/30/2022 8:04,R_DCsQ3QtjeJ0zx73,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",6107f349217073b43a3684af
7/30/2022 8:01,7/30/2022 8:05,100,211,TRUE,7/30/2022 8:05,R_24C71ILLtyjPoEI,Someone selling fraudulent goods or services,Yes,150,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",61757a64eb444645958da9c8
7/30/2022 8:03,7/30/2022 8:05,100,86,TRUE,7/30/2022 8:05,R_1Dx3PdeUzuJguOS,,,,,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",611145a267ff17098c76cb1a
7/30/2022 8:04,7/30/2022 8:05,100,56,TRUE,7/30/2022 8:05,R_RfSJ9NhORZRIE1j,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",628bb31571a8935ee2dbd6f9
7/30/2022 8:03,7/30/2022 8:05,100,92,TRUE,7/30/2022 8:05,R_1mWcucjFwAjJmx5,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",62879b859698ba45e6afa90f
7/30/2022 8:04,7/30/2022 8:05,100,46,TRUE,7/30/2022 8:05,R_25ACwKfoePMHYPp,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",611bc59204002575d9ce0814
7/30/2022 8:04,7/30/2022 8:05,100,74,TRUE,7/30/2022 8:05,R_3NxGMaSeQmiWKuz,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",5bcbd66377740000016a64b0
7/30/2022 8:05,7/30/2022 8:06,100,39,TRUE,7/30/2022 8:06,R_3khKY1yhAjAhrXg,Someone claiming to be from the IRS (but wasn't),No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5e39068e0e532411b2adaa7b
7/30/2022 8:06,7/30/2022 8:07,100,50,TRUE,7/30/2022 8:07,R_1MQVt5emxobpBPt,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,Yes,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",5e6d07de9cf1952cdc94bf61
7/30/2022 8:06,7/30/2022 8:07,100,64,TRUE,7/30/2022 8:07,R_3I6me0aaeBR70XX,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,Some of the time,Hardly ever,Some of the time,"Yes, use the responses.",614cd09c6b4f1b5e9055cec9
7/30/2022 8:06,7/30/2022 8:07,100,42,TRUE,7/30/2022 8:07,R_3lERcwucyXByTjb,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5cadf2fa7e99a900171c4705
7/30/2022 8:07,7/30/2022 8:07,100,41,TRUE,7/30/2022 8:07,R_3GuFAJTujKPUWr7,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Not Sure,Often,Some of the time,Some of the time,"Yes, use the responses.",5af67a42e066a400011347c0
7/30/2022 8:07,7/30/2022 8:08,100,43,TRUE,7/30/2022 8:08,R_1f9gzRjpJXXPbIp,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't)",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5ece0f3693c34518cb5cbef5
7/30/2022 8:07,7/30/2022 8:08,100,57,TRUE,7/30/2022 8:08,R_3ff2hptCwip2Tlq,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",5c2d187569ceff00011417de
7/30/2022 8:07,7/30/2022 8:08,100,56,TRUE,7/30/2022 8:08,R_3ltUcQptI5lZa3h,Someone selling fraudulent goods or services,No,,Yes,No,Often,Some of the time,Some of the time,"Yes, use the responses.",5e9fc65dee2ccf178f0e413f
7/30/2022 8:08,7/30/2022 8:10,100,91,TRUE,7/30/2022 8:10,R_1LjSbiOgJ0yoTEM,,,,,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",6151f8d17451289b4a59a6a8
7/30/2022 8:10,7/30/2022 8:11,100,72,TRUE,7/30/2022 8:11,R_2qjRUaSL7uQKk66,Someone claiming to be from the IRS (but wasn't),No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",614e7ef6e98951c5af6fd9f7
7/30/2022 8:10,7/30/2022 8:11,100,77,TRUE,7/30/2022 8:11,R_3Pp3TbdLLH1elbV,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",6132d1710444cd20f8487343
7/30/2022 8:11,7/30/2022 8:11,100,51,TRUE,7/30/2022 8:11,R_3RaX6V7E7qO88Ib,Someone selling fraudulent goods or services,No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5fcdbe153ce79b287e15344e
7/30/2022 8:11,7/30/2022 8:12,100,50,TRUE,7/30/2022 8:12,R_3kuIeIcx1aBA0RF,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Often,Often,Often,"Yes, use the responses.",628e4f0118e498792b2ee35e
7/30/2022 8:11,7/30/2022 8:12,100,71,TRUE,7/30/2022 8:12,R_W7q6r8HO28f9N6x,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,"2,000",No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",61016a44fcaae5d80977fa72
7/30/2022 8:11,7/30/2022 8:12,100,103,TRUE,7/30/2022 8:12,R_PHEM2AjmnANpQtz,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,Yes,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",629107ce74eade0be2dd0ed5
7/30/2022 8:11,7/30/2022 8:13,100,72,TRUE,7/30/2022 8:13,R_2S0rT30xYbopoJt,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",60fd70898841a1b5932c69f1
7/30/2022 8:12,7/30/2022 8:13,100,70,TRUE,7/30/2022 8:13,R_1i3gwumE2YLYrPz,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Some of the time,Often,"Yes, use the responses.",5ce6f942fb171800194db7db
7/30/2022 8:12,7/30/2022 8:14,100,85,TRUE,7/30/2022 8:14,R_268ZT6o1hT6oQLu,Other,No,,No,No,Often,Often,Often,"Yes, use the responses.",5bd52c0a860b840001dbe032
7/30/2022 8:13,7/30/2022 8:14,100,63,TRUE,7/30/2022 8:14,R_3EW6BMT1ydbSdeX,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",6147ade6028a9d57b67740c7
7/30/2022 8:13,7/30/2022 8:14,100,72,TRUE,7/30/2022 8:14,R_3QJAZG2SBPcPXY5,Someone claiming to be from the Social Security Administration (but wasn't),No,,No,No,Some of the time,Often,Some of the time,"Yes, use the responses.",61fa943b5719bc09cb834ebb
7/30/2022 8:12,7/30/2022 8:14,100,133,TRUE,7/30/2022 8:14,R_3p8NIpnTSv4RCHu,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",626999199c9e21ac3bb4100f
7/30/2022 8:14,7/30/2022 8:14,100,22,TRUE,7/30/2022 8:14,R_TaRKYur5DpgxSU1,Someone claiming to be from the IRS (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",5b457ba9eb64c200015bbab1
7/30/2022 8:14,7/30/2022 8:15,100,51,TRUE,7/30/2022 8:15,R_6yEVYdHgqNeRLSp,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",5ee9201596dd421333942d06
7/30/2022 8:14,7/30/2022 8:15,100,59,TRUE,7/30/2022 8:15,R_beK7P4GTzR0vnPz,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",598552156ab9880001b5a70b
7/30/2022 8:14,7/30/2022 8:16,100,83,TRUE,7/30/2022 8:16,R_2SAoq1uuDbw028d,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",60370cc8e1feab5ce84685ef
7/30/2022 8:15,7/30/2022 8:16,100,60,TRUE,7/30/2022 8:16,R_39RHRvUcZVvG9zz,Someone selling fraudulent goods or services,No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",61035f0c5670985a943f70f1
7/30/2022 8:16,7/30/2022 8:17,100,53,TRUE,7/30/2022 8:17,R_2Cv0qiNjY5fc3mx,"Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services",Yes,80,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",60fd88c5b5da4621ddaed661
7/30/2022 8:14,7/30/2022 8:17,100,171,TRUE,7/30/2022 8:17,R_2vivlW0W6dyZ9Sc,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",61468ff7596b0a22cd81ce36
7/30/2022 8:17,7/30/2022 8:17,100,46,TRUE,7/30/2022 8:17,R_07lv0EgUzrLZ3xf,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",6039b3699649cf4b48cd3d12
