StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Employment,TotalIncome,Race,Education,Age_1,Gender,PID
7/30/2022 7:23,7/30/2022 7:25,100,82,TRUE,7/30/2022 7:25,R_3HjC3i5n4vOVLhv,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,27,Female,5c0a22affe40eb00016262b6
7/30/2022 7:28,7/30/2022 7:29,100,55,TRUE,7/30/2022 7:29,R_3nPL2rzR13vWmwE,"Employed, working 30 or more hours per week","$40,000 - $59,999","Hispanic,African American or African (Non-Hispanic)",Graduate or professional degree,21,Male,60fda3339a276aeae02c05e9
7/30/2022 7:32,7/30/2022 7:33,100,58,TRUE,7/30/2022 7:33,R_12bS4PRGJ8mB5C8,"Disabled, not able to work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,58,Female,60edcedc047ee38cb8bb2a0d
7/30/2022 7:33,7/30/2022 7:34,100,77,TRUE,7/30/2022 7:34,R_1nMTE2opWTaW5cd,"Not employed, looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",41,Female,60e3072a6e09025d10fdcb5e
7/30/2022 7:33,7/30/2022 7:34,100,77,TRUE,7/30/2022 7:34,R_4IyH7eLz7pDWBxL,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,34,Female,614ddc2c999c9ee21fa84355
7/30/2022 7:34,7/30/2022 7:35,100,39,TRUE,7/30/2022 7:35,R_31mct1hQ11ujqPO,"Employed, working 30 or more hours per week","$100,000 - $149,999",Asian American or Asian,Bachelor degree,32,Male,5a9e841089de8200013f28d3
7/30/2022 7:35,7/30/2022 7:36,100,33,TRUE,7/30/2022 7:36,R_1f2bgWJP1Z5vFOR,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,38,Female,5484821efdf99b07b28f2300
7/30/2022 7:35,7/30/2022 7:36,100,27,TRUE,7/30/2022 7:36,R_8lbdd2542MKJZ2p,"Employed, working 30 or more hours per week","$60,000 - $79,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Bachelor degree,37,Female,61fa94735719bc09cb834f49
7/30/2022 7:35,7/30/2022 7:36,100,58,TRUE,7/30/2022 7:36,R_3nMIe5bJLJjBHXG,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,23,Female,611a3e5985d4fa727e274b38
7/30/2022 7:36,7/30/2022 7:36,100,29,TRUE,7/30/2022 7:36,R_2WvxL9g7ZHZUVjR,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,27,Female,605363bb60479c6e682fa925
7/30/2022 7:37,7/30/2022 7:37,100,40,TRUE,7/30/2022 7:37,R_3gYFmuUasE030k0,"Employed, working 1-29 hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,42,Female,610933fa1d369f7bb87b05ec
7/30/2022 7:44,7/30/2022 7:45,100,32,TRUE,7/30/2022 7:45,R_pRUVzoKm2QMxZzr,Retired,"$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,59,Male,6229dbd104c9cf8c397853cb
7/30/2022 7:43,7/30/2022 7:45,100,96,TRUE,7/30/2022 7:45,R_23e2Z8kLFKp1QiJ,"Not employed, looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,19,Female,5fba33b03b6dfc99242ba0a7
7/30/2022 7:44,7/30/2022 7:45,100,68,TRUE,7/30/2022 7:45,R_123Zp7BXE6ix3SP,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,34,Female,62a36469aa54a53fcfcc27d2
7/30/2022 7:45,7/30/2022 7:46,100,51,TRUE,7/30/2022 7:46,R_1IoWKQo1WL8ZPcO,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,27,Female,5e718b4d2471fc0ba76997a5
7/30/2022 7:47,7/30/2022 7:47,100,27,TRUE,7/30/2022 7:47,R_22QgQonHIsCDRet,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,22,Male,61086bf229f70faa16a47e58
7/30/2022 7:48,7/30/2022 7:48,100,35,TRUE,7/30/2022 7:48,R_3MScVLGEOLbvWjE,Retired,"$60,000 - $79,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic),Native American, Native Hawaiian or Pacific Islander",Graduate or professional degree,44,Male,6026aaab6d051201e5e6adbc
7/30/2022 7:47,7/30/2022 7:48,100,89,TRUE,7/30/2022 7:48,R_1j6BQwwMk1FW3dU,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,41,Male,61757a64eb444645958da9c8
7/30/2022 7:48,7/30/2022 7:49,100,38,TRUE,7/30/2022 7:49,R_3QJlVu2ydkkusEI,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,35,Female,5f0b7f45bd7f5a0e21a8b561
7/30/2022 7:48,7/30/2022 7:49,100,30,TRUE,7/30/2022 7:49,R_eJ43k3bQcHEtSa5,"Not employed, looking for work","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,21,Female,610ed1ac68f6c344f9a8b17d
7/30/2022 7:48,7/30/2022 7:49,100,50,TRUE,7/30/2022 7:49,R_1r6pgQrqLZr6yZk,Retired,"$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,66,Male,5ea6d2679255fb04b664b12d
7/30/2022 7:48,7/30/2022 7:49,100,49,TRUE,7/30/2022 7:49,R_1erUlEkcqdLZwtM,"Not employed, NOT looking for work","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Some college but no degree,44,Female,608aede3203836ab453453a0
7/30/2022 7:49,7/30/2022 7:50,100,44,TRUE,7/30/2022 7:50,R_2Y5iz3Iv1bg0pGq,"Not employed, looking for work","$40,000 - $59,999",African American or African (Non-Hispanic),Bachelor degree,32,Male,5e26762aa8c1118a9d578c4d
7/30/2022 7:43,7/30/2022 7:50,100,428,TRUE,7/30/2022 7:50,R_3EAodHHtxID8zKI,"Employed, working 1-29 hours per week","$80,000 - $99,999",African American or African (Non-Hispanic),"High school degree or equivalent (e.g., GED)",21,Female,61009ba434c15cd5dc4a3044
7/30/2022 7:49,7/30/2022 7:50,100,81,TRUE,7/30/2022 7:50,R_1pm1XkTLcfVfEvU,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",58,Male,62896076149e8f156545884c
7/30/2022 7:50,7/30/2022 7:50,100,46,TRUE,7/30/2022 7:50,R_3g1RborikaAiiEK,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Associate degree,59,Female,60fd38ded9e5eea835eba383
7/30/2022 7:50,7/30/2022 7:51,100,85,TRUE,7/30/2022 7:51,R_2wtpN7KNpj4G3AD,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,27,Female,60fce31d926b2ab20551bb0b
7/30/2022 7:51,7/30/2022 7:52,100,60,TRUE,7/30/2022 7:52,R_1CeHcuG8lI8aX3G,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,50,Female,6085bf84bb0ce00524154c60
7/30/2022 7:51,7/30/2022 7:52,100,43,TRUE,7/30/2022 7:52,R_3lQhAVOfeVJkzVQ,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,43,Other,59f5c7f405d1d60001f14399
7/30/2022 7:52,7/30/2022 7:52,100,38,TRUE,7/30/2022 7:52,R_24N4qQj0p7VuVjV,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,32,Male,62e3ea3dbade9cf532ebebfe
7/30/2022 7:52,7/30/2022 7:53,100,89,TRUE,7/30/2022 7:53,R_2OYYpkaSxWCdmcA,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,31,Male,5c8be0dd542fbd0016924f5f
7/30/2022 7:53,7/30/2022 7:54,100,47,TRUE,7/30/2022 7:54,R_suFDESTuHvvqkxP,"Employed, working 30 or more hours per week","$40,000 - $59,999",Hispanic,Graduate or professional degree,26,Female,6103391c3f6db1c809680920
7/30/2022 7:49,7/30/2022 7:54,100,278,TRUE,7/30/2022 7:54,R_tWX2EZOxWLVfYCB,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,34,Female,612810b001fe6cd5e7786c39
7/30/2022 7:53,7/30/2022 7:54,100,38,TRUE,7/30/2022 7:54,R_1esqgv5vVxWZxhw,"Employed, working 30 or more hours per week","$150,000 or more","White or Caucasian (Non-Hispanic),Asian American or Asian",Bachelor degree,27,Female,5f2cd0a20311ef1f1700528f
7/30/2022 7:54,7/30/2022 7:54,100,32,TRUE,7/30/2022 7:54,R_25LLBwHjFYesF2d,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,59,Female,622dfef5cce6b4d9bb203698
7/30/2022 7:53,7/30/2022 7:54,100,72,TRUE,7/30/2022 7:54,R_2OU2xqi3B9SEb8t,"Not employed, NOT looking for work","$40,000 - $59,999",African American or African (Non-Hispanic),Associate degree,20,Female,61326b9c9231e5c9889e030d
7/30/2022 7:54,7/30/2022 7:54,100,52,TRUE,7/30/2022 7:54,R_1MWnTlehfucAdGe,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",62,Male,62952201fa2b4996b7a66f3d
7/30/2022 7:54,7/30/2022 7:55,100,35,TRUE,7/30/2022 7:55,R_1hZouM6zWE7aSM6,"Not employed, NOT looking for work","$40,000 - $59,999",African American or African (Non-Hispanic),Some college but no degree,30,Female,5928cbac80a86200013f3732
7/30/2022 7:53,7/30/2022 7:55,100,134,TRUE,7/30/2022 7:55,R_1EiXIhRqrSJUSJz,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Associate degree,37,Female,5d57062817ee8d0001cda0f6
7/30/2022 7:54,7/30/2022 7:55,100,64,TRUE,7/30/2022 7:55,R_2QmKSDw8KEfVPps,"Disabled, not able to work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,50,Female,6150676e5c75d00e40216f08
7/30/2022 7:55,7/30/2022 7:56,100,54,TRUE,7/30/2022 7:56,R_2430HJjxXQ45drx,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",55,Female,598a37f8efe76a00018ea9fe
7/30/2022 7:57,7/30/2022 7:58,100,63,TRUE,7/30/2022 7:58,R_23fnUiBv9N9IXbf,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,31,Female,5c44c4e73be7b70001fd7312
7/30/2022 7:58,7/30/2022 7:59,100,20,TRUE,7/30/2022 7:59,R_0DuV2ZzkPYGDcf7,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,22,Female,6103494acb49b118fdcf2db5
7/30/2022 7:58,7/30/2022 7:59,100,50,TRUE,7/30/2022 7:59,R_VVhtBbXnDJVGLIZ,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,37,Female,5ea95ca4936cd3035f7e3e3a
7/30/2022 7:58,7/30/2022 7:59,100,42,TRUE,7/30/2022 7:59,R_2VlKP9sB4uEEwfp,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,42,Female,5cadf2fa7e99a900171c4705
7/30/2022 7:59,7/30/2022 8:00,100,24,TRUE,7/30/2022 8:00,R_1dAdy2uhQcZlOzj,"Employed, working 30 or more hours per week","$100,000 - $149,999","White or Caucasian (Non-Hispanic),Hispanic",Associate degree,31,Male,610b665dfa80ae760e927f8e
7/30/2022 7:59,7/30/2022 8:00,100,42,TRUE,7/30/2022 8:00,R_efK1nE0Dg0ZxRi9,"Employed, working 30 or more hours per week","$60,000 - $79,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Bachelor degree,24,Male,6107f349217073b43a3684af
7/30/2022 7:58,7/30/2022 8:00,100,81,TRUE,7/30/2022 8:00,R_2abklnKv1mNszEq,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Associate degree,67,Male,62879b859698ba45e6afa90f
7/30/2022 7:59,7/30/2022 8:00,100,42,TRUE,7/30/2022 8:00,R_A1ic1E1OVwUaJup,Retired,"$60,000 - $79,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",66,Male,628bb31571a8935ee2dbd6f9
7/30/2022 7:59,7/30/2022 8:00,100,50,TRUE,7/30/2022 8:00,R_26o26qCYFuL172q,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,67,Female,5bcbd66377740000016a64b0
7/30/2022 8:00,7/30/2022 8:01,100,50,TRUE,7/30/2022 8:01,R_3I6jNlxl928DarJ,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,25,Female,611bc59204002575d9ce0814
7/30/2022 8:00,7/30/2022 8:01,100,27,TRUE,7/30/2022 8:01,R_2SHNhM1t4ULrk2G,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,31,Female,611145a267ff17098c76cb1a
7/30/2022 8:00,7/30/2022 8:02,100,79,TRUE,7/30/2022 8:02,R_3khUWc5qxHP90jQ,Retired,"$0 - $19,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,81,Male,6151f8d17451289b4a59a6a8
7/30/2022 8:02,7/30/2022 8:03,100,80,TRUE,7/30/2022 8:03,R_3LZ27fUGIZTP5rr,"Employed, working 30 or more hours per week","$20,000 - $39,999",African American or African (Non-Hispanic),"High school degree or equivalent (e.g., GED)",40,Female,5e39068e0e532411b2adaa7b
7/30/2022 8:03,7/30/2022 8:03,100,36,TRUE,7/30/2022 8:03,R_2qmavM0t3n8MWwH,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,36,Male,614cd09c6b4f1b5e9055cec9
7/30/2022 8:02,7/30/2022 8:03,100,79,TRUE,7/30/2022 8:03,R_2BhefavlXI6evtq,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,66,Male,629107ce74eade0be2dd0ed5
7/30/2022 8:01,7/30/2022 8:03,100,147,TRUE,7/30/2022 8:03,R_1mPB2DUOJ7wZWKa,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,29,Female,5ece0f3693c34518cb5cbef5
7/30/2022 8:02,7/30/2022 8:04,100,95,TRUE,7/30/2022 8:04,R_1n3JJujrZwlqxEq,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",52,Female,626999199c9e21ac3bb4100f
7/30/2022 8:03,7/30/2022 8:04,100,45,TRUE,7/30/2022 8:04,R_bBZYv7o0e6TUZO1,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",35,Female,5c2d187569ceff00011417de
7/30/2022 8:03,7/30/2022 8:04,100,88,TRUE,7/30/2022 8:04,R_3JbjtwbswrKxtfF,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,30,Female,5e6d07de9cf1952cdc94bf61
7/30/2022 8:05,7/30/2022 8:05,100,34,TRUE,7/30/2022 8:05,R_Zw1ewT71L69uzwl,"Employed, working 30 or more hours per week","$40,000 - $59,999",Asian American or Asian,Bachelor degree,33,Male,5af67a42e066a400011347c0
7/30/2022 8:04,7/30/2022 8:05,100,75,TRUE,7/30/2022 8:05,R_x42ITFLcD8Zfz3z,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",60,Female,6132d1710444cd20f8487343
7/30/2022 8:05,7/30/2022 8:06,100,30,TRUE,7/30/2022 8:06,R_1n9lUyxbnAEkuRb,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Associate degree,54,Female,5e9fc65dee2ccf178f0e413f
7/30/2022 8:05,7/30/2022 8:06,100,68,TRUE,7/30/2022 8:06,R_0fEGtKafkyzNCBb,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,59,Male,614e7ef6e98951c5af6fd9f7
7/30/2022 8:07,7/30/2022 8:07,100,55,TRUE,7/30/2022 8:07,R_3qXadae0JqBnY4u,"Employed, working 30 or more hours per week","$80,000 - $99,999",Asian American or Asian,Bachelor degree,26,Female,5fcdbe153ce79b287e15344e
7/30/2022 8:07,7/30/2022 8:08,100,45,TRUE,7/30/2022 8:08,R_1dAFEFFcuwDrKye,"Disabled, not able to work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,33,Male,5bd52c0a860b840001dbe032
7/30/2022 8:06,7/30/2022 8:08,100,91,TRUE,7/30/2022 8:08,R_dahYgjncQ7wbyWB,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,50,Female,5eb19fab4606ca2cc2309390
7/30/2022 8:07,7/30/2022 8:08,100,79,TRUE,7/30/2022 8:08,R_1d9NaKiCpBO4QuR,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,57,Female,61468ff7596b0a22cd81ce36
7/30/2022 8:07,7/30/2022 8:08,100,57,TRUE,7/30/2022 8:08,R_r2RVkgomIz2Ytln,"Not employed, NOT looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,23,Female,61016a44fcaae5d80977fa72
7/30/2022 8:06,7/30/2022 8:08,100,105,TRUE,7/30/2022 8:08,R_2VC81LRrfWcUQrj,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Bachelor degree,26,Female,60fd70898841a1b5932c69f1
7/30/2022 8:09,7/30/2022 8:09,100,38,TRUE,7/30/2022 8:09,R_2AHngMZS2NJMb3O,"Not employed, NOT looking for work","$20,000 - $39,999",Asian American or Asian,Some college but no degree,31,Male,628e4f0118e498792b2ee35e
7/30/2022 8:09,7/30/2022 8:10,100,35,TRUE,7/30/2022 8:10,R_26o5qHSex7kDnfn,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,30,Female,5ee9201596dd421333942d06
7/30/2022 8:10,7/30/2022 8:10,100,48,TRUE,7/30/2022 8:10,R_03dHUiKix4xJITn,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,38,Male,6147ade6028a9d57b67740c7
7/30/2022 8:10,7/30/2022 8:11,100,42,TRUE,7/30/2022 8:11,R_a8COYze5hSJ3CBX,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some high school,70,Female,61fa943b5719bc09cb834ebb
7/30/2022 8:10,7/30/2022 8:11,100,58,TRUE,7/30/2022 8:11,R_2w7txyvagnaI7Kw,"Not employed, NOT looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",41,Female,5ce6f942fb171800194db7db
7/30/2022 8:10,7/30/2022 8:11,100,48,TRUE,7/30/2022 8:11,R_1LcbKg5BF0U9pmo,"Employed, working 1-29 hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,55,Female,598552156ab9880001b5a70b
7/30/2022 8:11,7/30/2022 8:12,100,49,TRUE,7/30/2022 8:12,R_1rkT5ViLtAhKLia,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Some college but no degree,42,Male,5765dffd7805730001ecfcd0
7/30/2022 8:11,7/30/2022 8:12,100,44,TRUE,7/30/2022 8:12,R_2tiehueFXwj3xCQ,"Not employed, NOT looking for work","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Some college but no degree,19,Female,61035f0c5670985a943f70f1
7/30/2022 8:12,7/30/2022 8:13,100,16,TRUE,7/30/2022 8:13,R_1qaXPSJp61nkjwc,"Not employed, looking for work","$40,000 - $59,999",Asian American or Asian,Some college but no degree,22,Female,5b457ba9eb64c200015bbab1
7/30/2022 8:12,7/30/2022 8:13,100,32,TRUE,7/30/2022 8:13,R_2EBm0UAbwBhr928,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,31,Female,60370cc8e1feab5ce84685ef
7/30/2022 8:13,7/30/2022 8:13,100,32,TRUE,7/30/2022 8:13,R_xt2PQ579YKcRVIt,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,51,Female,6107cd8f1e72bcba832478d7
7/30/2022 8:11,7/30/2022 8:13,100,130,TRUE,7/30/2022 8:13,R_2EtOTL8DZlsfKXQ,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,35,Male,5e3d8d90de328d044e7c6ffb
7/30/2022 8:13,7/30/2022 8:13,100,51,TRUE,7/30/2022 8:13,R_2QfFRSg2qDjf9BI,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,32,Female,5fc2734dbe970b424ca019b4
7/30/2022 8:13,7/30/2022 8:14,100,47,TRUE,7/30/2022 8:14,R_1pyPgfw3NNnTdhm,"Not employed, looking for work","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,23,Male,62c77cfab055de8fb5c8b79b
7/30/2022 8:11,7/30/2022 8:14,100,157,TRUE,7/30/2022 8:14,R_2eRR0AQ9ifaG3FQ,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,19,Female,6039b3699649cf4b48cd3d12
7/30/2022 8:14,7/30/2022 8:15,100,37,TRUE,7/30/2022 8:15,R_1pL7jb5dw26ws4a,"Not employed, NOT looking for work","$80,000 - $99,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",25,Female,5b21c4ab31d0080001b9f55e
7/30/2022 8:15,7/30/2022 8:15,100,25,TRUE,7/30/2022 8:15,R_30dA6nmoL3uuuRp,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,25,Female,60fd88c5b5da4621ddaed661
7/30/2022 8:15,7/30/2022 8:16,100,23,TRUE,7/30/2022 8:16,R_2t9JQmTeJO3QpFf,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,27,Female,5e065c9fe78021031a4b1d59
7/30/2022 8:15,7/30/2022 8:16,100,47,TRUE,7/30/2022 8:16,R_3PaHS8MZ5e2Gfmd,Retired,"$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,67,Female,616b063b5dfa9fb616209058
7/30/2022 8:15,7/30/2022 8:16,100,38,TRUE,7/30/2022 8:16,R_3GuOtCq5Nqd1toH,"Employed, working 30 or more hours per week","$40,000 - $59,999",African American or African (Non-Hispanic),Bachelor degree,36,Female,6269b364ed457e6d3558be82
7/30/2022 8:15,7/30/2022 8:16,100,50,TRUE,7/30/2022 8:16,R_31oBqMixyNVScc9,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,26,Female,6086a4966a8353280f6f3895
7/30/2022 8:15,7/30/2022 8:16,100,41,TRUE,7/30/2022 8:16,R_2VfHVnsZDdWld6Z,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,39,Male,5f08891e392f740a659bbc7d
7/30/2022 8:15,7/30/2022 8:16,100,69,TRUE,7/30/2022 8:16,R_1CEK4Ge5DniBFfh,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",36,Male,5b97386d8e5b7b00010e1a8e
7/30/2022 8:16,7/30/2022 8:17,100,38,TRUE,7/30/2022 8:17,R_2s5w4cuzWSqP5iV,"Not employed, looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Bachelor degree,30,Female,5f9df5f72aca47392dc49b65
7/30/2022 8:16,7/30/2022 8:17,100,84,TRUE,7/30/2022 8:17,R_2B8ziPbHoxjst6E,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,51,Male,626805a1a733f39a611c7064
