,PID,surveyArm,trustScore,incomeAmount,race5,employment3,educYears,marriedI,ageYears,genderI,ageYearsSq,lIncomeAmount,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_SSA,numCorrect_Other,numEmailsCorrect_SSA,numEmailsCorrect_Other,numLabeledReal,numLabeledFake,numNoAnswer,percentCorrect,TestRound,GovtConfScore,SuscPersuasionScore,SelfControlScore,SuscPersuasionScore_NoSelfControl,GenTrustScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views
37,60833ce5197d68cff9df1b83,arm2_written_techniques,2.0,10.0,W,U,18.0,1.0,69.5,0,4830.25,2.302585092994046,10.0,1.0,1.0,4.0,6.0,7.0,2.0,1.0,5.0,5.0,2.0,5.0,5.0,7.0,0.0,83.33333333333334,6.0,9.0,3.0,2.6666666666666665,3.5,3.6,4.9,3.5,5,Some,Frustrated,Only some of the time,Government should do more to solve problems.
38,5e0571b7e297d5fa932cf415,arm2_written_techniques,3.0,125.0,W,E,18.0,1.0,59.5,1.0,3540.25,4.828313737302302,10.0,1.0,1.0,4.0,6.0,6.0,2.0,2.0,5.0,5.0,2.0,4.0,5.0,7.0,0.0,83.33333333333334,4.0,8.0,3.25,4.333333333333333,3.25,3.6,4.7,3.75,5,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.
39,5dd61a909ca8a35c14d8d610,arm4_interactive_training,3.0,10.0,W,E,18.0,0.0,59.5,1.0,3540.25,2.302585092994046,11.0,1.0,0.0,5.0,6.0,7.0,2.0,2.0,5.0,6.0,2.0,5.0,6.0,6.0,0.0,91.66666666666666,4.0,9.0,3.5833333333333335,5.0,3.5,3.0,5.5,1.875,6,Some,Frustrated,Only some of the time,Government should do more to solve problems.
40,571cea664ca277001153c045,arm2_written_techniques,3.0,125.0,W,E,14.0,0.0,49.5,0.0,2450.25,4.828313737302302,7.0,4.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,8.0,4.0,0.0,58.33333333333334,4.0,11.0,2.9166666666666665,2.6666666666666665,3.375,4.4,5.7,4.625,6,Some,Basically content,Most of the time,Government should do more to solve problems.
41,601dc4afec317f1e601e72c0,arm2_written_techniques,0.0,10.0,W,E,16.0,0.0,59.5,1.0,3540.25,2.302585092994046,9.0,2.0,1.0,4.0,5.0,6.0,1.0,2.0,4.0,5.0,2.0,4.0,6.0,6.0,0.0,75.0,4.0,11.0,2.8333333333333335,3.3333333333333335,3.0,2.6,4.0,4.375,5,Some,Basically content,Most of the time,Government should do more to solve problems.
42,60eb1a7c95641da67ae7d611,arm1_control,1.0,70.0,W,U,16.0,1.0,59.5,1,3540.25,4.248495242049359,8.0,2.0,2.0,3.0,5.0,5.0,1.0,2.0,4.0,4.0,2.0,3.0,5.0,7.0,0.0,66.66666666666666,6.0,7.0,2.5833333333333335,1.6666666666666667,3.25,2.2,4.9,4.0,5,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.
43,5f402eb4fbd8df145068b805,arm2_written_techniques,3.0,30.0,W,R,14.0,0.0,59.5,1.0,3540.25,3.401197381662155,11.0,0.0,1.0,4.0,7.0,8.0,1.0,2.0,5.0,6.0,3.0,5.0,4.0,8.0,0.0,91.66666666666666,4.0,10.0,3.3333333333333335,5.0,3.125,3.8,5.5,4.375,6,Some,Basically content,Only some of the time,Government should do more to solve problems.
44,5d6376ec7e447f001c971315,arm4_interactive_training,0.0,30.0,B,U,13.0,0.0,59.5,1.0,3540.25,3.401197381662155,7.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,8.0,0.0,58.33333333333334,4.0,6.0,2.4166666666666665,3.0,2.5,2.8,3.6,1.625,4,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.
45,5d321a7348bf98001646aeb2,arm1_control,3.0,30.0,W,R,13.0,0.0,59.5,1,3540.25,3.401197381662155,7.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,6.0,6.0,0.0,58.33333333333334,6.0,11.0,2.8333333333333335,1.6666666666666667,3.625,3.6,5.6,5.0,4,Some,Basically content,Most of the time,Government should do more to solve problems.
46,57dd766bbcd7150001ded5de,arm2_written_techniques,3.0,30.0,W,E,16.0,0.0,49.5,0.0,2450.25,3.401197381662155,8.0,2.0,2.0,3.0,5.0,6.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,7.0,0.0,66.66666666666666,4.0,7.0,3.25,3.0,3.75,4.0,4.2,5.375,6,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.
47,5b68d45687af3100015849a9,arm4_interactive_training,3.0,90.0,W,R,18.0,1.0,59.5,1,3540.25,4.499809670330265,7.0,0.0,5.0,0.0,7.0,5.0,1.0,1.0,4.0,3.0,2.0,3.0,0.0,12.0,0.0,58.33333333333334,6.0,8.0,3.0,4.0,3.0,4.0,6.0,3.625,6,Some,Angry,Only some of the time,Government should do more to solve problems.
48,60fd87d36ab8d5b280c08e2e,arm3_existingssa,0.0,90.0,B,E,13.0,0.0,29.5,1,870.25,4.499809670330265,7.0,5.0,0.0,5.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,10.0,2.0,0.0,58.33333333333334,6.0,7.0,4.0,4.0,4.5,3.0,4.0,4.0,4,Very little,Angry,Only some of the time,Government should do more to solve problems.
49,5de96ccf7aeafe09d7e8a74a,arm1_control,3.0,10.0,H,U,16.0,0.0,49.5,0.0,2450.25,2.302585092994046,8.0,3.0,1.0,4.0,4.0,5.0,2.0,1.0,5.0,3.0,2.0,3.0,7.0,5.0,0.0,66.66666666666666,4.0,10.0,3.75,2.3333333333333335,4.75,4.2,5.9,4.75,4,Some,Basically content,Only some of the time,Government should do more to solve problems.
50,5ed2f70cae98302901c31d4f,arm4_interactive_training,0.0,70.0,A,U,14.0,1.0,39.5,1.0,1560.25,4.248495242049359,6.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,7.0,0.0,50.0,4.0,10.0,3.5833333333333335,3.6666666666666665,4.0,3.8,5.5,3.5,3,Some,Basically content,Most of the time,Government is doing too many things better left to businesses and individuals.
51,5f0395a63963d05bc235abdb,arm1_control,0.0,90.0,W,U,16.0,1.0,59.5,1.0,3540.25,4.499809670330265,8.0,2.0,2.0,3.0,5.0,6.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,7.0,0.0,66.66666666666666,4.0,8.0,2.8333333333333335,2.6666666666666665,3.25,,4.9,3.125,5,Very little,Frustrated,Only some of the time,Government should do more to solve problems.
52,5dd3bfcd8b8df139ce007928,arm2_written_techniques,3.0,60.0,W,U,13.0,0.0,49.5,0.0,2450.25,4.0943445622221,8.0,2.0,2.0,3.0,5.0,6.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,7.0,0.0,66.66666666666666,4.0,11.0,3.1666666666666665,2.3333333333333335,3.875,3.2,5.5,5.875,4,Some,Basically content,Most of the time,Government should do more to solve problems.
53,5d1a13a0ae692800192fa1c2,arm4_interactive_training,3.0,30.0,W,R,16.0,1.0,59.5,1.0,3540.25,3.401197381662155,5.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,6.0,6.0,0.0,41.66666666666667,4.0,12.0,3.1666666666666665,2.3333333333333335,3.875,3.8,6.4,4.75,5,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.
54,60cba33aa66d767b09f8e9e9,arm1_control,3.0,30.0,W,R,16.0,0.0,69.5,0,4830.25,3.401197381662155,10.0,1.0,1.0,4.0,6.0,7.0,1.0,2.0,4.0,6.0,2.0,5.0,5.0,7.0,0.0,83.33333333333334,6.0,10.0,2.75,2.0,3.375,,5.8,2.0,5,Some,Frustrated,Most of the time,Government should do more to solve problems.
55,5e8b32ec2c33ae7f20a0b401,arm2_written_techniques,3.0,90.0,A,E,18.0,1.0,59.5,1.0,3540.25,4.499809670330265,7.0,3.0,2.0,3.0,4.0,5.0,1.0,1.0,5.0,2.0,3.0,2.0,6.0,6.0,0.0,58.33333333333334,4.0,10.0,3.0,2.3333333333333335,3.625,3.8,4.5,2.5,3,Some,Frustrated,Most of the time,Government should do more to solve problems.
56,5fd0ceb0bb24d90009e6fc4f,arm1_control,0.0,70.0,W,U,16.0,1.0,69.5,0.0,4830.25,4.248495242049359,7.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,6.0,6.0,0.0,58.33333333333334,4.0,8.0,2.25,1.3333333333333333,2.875,2.4,2.7,1.125,4,Very little,Frustrated,Only some of the time,Government should do more to solve problems.
57,60632b562ed6028c6bb905a6,arm4_interactive_training,3.0,10.0,W,U,18.0,0.0,59.5,0.0,3540.25,2.302585092994046,11.0,0.0,1.0,4.0,7.0,8.0,1.0,2.0,5.0,6.0,3.0,5.0,4.0,8.0,0.0,91.66666666666666,4.0,9.0,4.083333333333333,4.333333333333333,4.5,4.0,4.9,3.625,4,Some,Frustrated,Only some of the time,Government should do more to solve problems.
58,5dc483cf74939e34e55c3619,arm3_existingssa,3.0,60.0,W,R,13.0,1.0,69.5,0.0,4830.25,4.0943445622221,10.0,0.0,2.0,3.0,7.0,7.0,2.0,1.0,5.0,5.0,2.0,5.0,3.0,9.0,0.0,83.33333333333334,4.0,9.0,2.8333333333333335,2.0,3.5,4.0,5.2,3.75,5,Very little,Frustrated,Most of the time,Government should do more to solve problems.
59,5cf3f7364bcc6400019d71fa,arm4_interactive_training,3.0,30.0,W,E,12.0,0.0,59.5,1.0,3540.25,3.401197381662155,7.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,6.0,1.0,3.0,1.0,6.0,6.0,0.0,58.33333333333334,4.0,7.0,3.4166666666666665,2.3333333333333335,4.25,4.0,4.0,2.75,5,None at all,Frustrated,Only some of the time,Government should do more to solve problems.
60,6063737f1039adcbf6428ac2,arm2_written_techniques,3.0,90.0,W,E,16.0,1.0,59.5,1.0,3540.25,4.499809670330265,8.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,3.0,7.0,5.0,0.0,66.66666666666666,4.0,12.0,3.1666666666666665,4.0,3.25,4.0,6.9,4.25,5,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.
61,5d8a64630ffb9c001746ca2c,arm4_interactive_training,0.0,70.0,A,E,14.0,1.0,59.5,0.0,3540.25,4.248495242049359,8.0,2.0,2.0,3.0,5.0,6.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,7.0,0.0,66.66666666666666,4.0,6.0,,3.3333333333333335,,3.2,,3.375,6,Very little,Frustrated,Never,Government is doing too many things better left to businesses and individuals.
62,5d30eee5e7ca2e001bd4091b,arm1_control,0.0,125.0,W,E,16.0,1.0,39.5,1.0,1560.25,4.828313737302302,8.0,2.0,2.0,3.0,5.0,5.0,2.0,1.0,5.0,3.0,2.0,3.0,5.0,7.0,0.0,66.66666666666666,4.0,6.0,2.9166666666666665,3.6666666666666665,3.0,2.6,3.6,3.5,5,None at all,Frustrated,Never,Government should do more to solve problems.
63,5fc50bb38378c80ac88354ef,arm2_written_techniques,3.0,70.0,B,R,16.0,0.0,59.5,1.0,3540.25,4.248495242049359,9.0,0.0,3.0,2.0,7.0,6.0,1.0,2.0,4.0,5.0,2.0,4.0,2.0,10.0,0.0,75.0,4.0,12.0,2.8333333333333335,1.6666666666666667,3.625,4.0,,6.0,5,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.
64,5e04b9be7adf4bf23f066a2a,arm2_written_techniques,3.0,125.0,W,R,16.0,1.0,49.5,0,2450.25,4.828313737302302,10.0,1.0,1.0,4.0,6.0,7.0,2.0,1.0,5.0,5.0,2.0,5.0,5.0,7.0,0.0,83.33333333333334,6.0,9.0,2.8333333333333335,2.0,3.5,3.8,5.9,5.25,4,Some,Basically content,Only some of the time,Government is doing too many things better left to businesses and individuals.
65,60b81f5f9e32d170d3ab805e,arm2_written_techniques,3.0,30.0,B,U,16.0,0.0,49.5,1,2450.25,3.401197381662155,4.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,5.0,7.0,0.0,33.33333333333333,6.0,12.0,3.1666666666666665,3.6666666666666665,3.375,4.4,6.7,3.25,6,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.
66,60fb383e30537b88f361934e,arm3_existingssa,3.0,125.0,W,E,16.0,1.0,49.5,0,2450.25,4.828313737302302,9.0,2.0,1.0,4.0,5.0,7.0,1.0,1.0,4.0,5.0,2.0,5.0,6.0,6.0,0.0,75.0,6.0,5.0,2.8333333333333335,2.6666666666666665,3.25,3.6,1.4,2.125,5,Very little,Angry,Never,Government is doing too many things better left to businesses and individuals.
67,567dd32b4f0ef30006dbb718,arm4_interactive_training,0.0,70.0,B,E,18.0,0.0,49.5,1.0,2450.25,4.248495242049359,9.0,2.0,1.0,4.0,5.0,6.0,2.0,1.0,4.0,5.0,1.0,5.0,6.0,6.0,0.0,75.0,4.0,9.0,2.25,1.6666666666666667,2.75,2.2,3.9,3.25,3,Some,Frustrated,Only some of the time,Government should do more to solve problems.
68,5c2fcd716ea6880001dc8e3d,arm3_existingssa,3.0,70.0,W,E,12.0,1.0,59.5,1,3540.25,4.248495242049359,8.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,5.0,0.0,4.0,7.0,5.0,0.0,66.66666666666666,6.0,9.0,3.3333333333333335,2.0,4.25,3.4,6.2,5.125,5,Some,Frustrated,Only some of the time,Government should do more to solve problems.
69,5df9846d76f45070feedf075,arm2_written_techniques,2.0,60.0,W,E,13.0,0.0,59.5,0.0,3540.25,4.0943445622221,7.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,6.0,6.0,0.0,58.33333333333334,4.0,8.0,2.9166666666666665,1.6666666666666667,3.75,4.6,4.7,5.5,5,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.
70,60a2b9a6ad671cebb06f2b0d,arm1_control,3.0,60.0,W,R,16.0,1.0,69.5,1,4830.25,4.0943445622221,3.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,8.0,0.0,4.0,25.0,6.0,10.0,3.3333333333333335,2.6666666666666665,4.0,3.8,6.5,5.25,3,Quite a lot,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.
71,60c75628113cc78734583d3b,arm1_control,2.0,175.0,W,E,16.0,1.0,59.5,0,3540.25,5.164785973923514,12.0,0.0,0.0,5.0,7.0,8.0,2.0,2.0,6.0,6.0,3.0,5.0,5.0,7.0,0.0,100.0,6.0,11.0,3.3333333333333335,2.6666666666666665,4.0,4.0,5.4,3.5,4,Quite a lot,Frustrated,Most of the time,Government should do more to solve problems.
72,55aeaeb3fdf99b5c769f1f7c,arm1_control,3.0,60.0,W,E,16.0,0.0,59.5,0.0,3540.25,4.0943445622221,9.0,2.0,1.0,4.0,5.0,6.0,1.0,2.0,4.0,5.0,2.0,4.0,6.0,6.0,0.0,75.0,4.0,9.0,4.166666666666667,4.333333333333333,4.625,,6.3,2.75,4,Some,Frustrated,Only some of the time,Government should do more to solve problems.
73,609c6cc79875c8f0ba5d2242,arm1_control,2.0,70.0,W,E,18.0,0.0,59.5,1,3540.25,4.248495242049359,7.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,0.0,4.0,6.0,6.0,0.0,58.33333333333334,6.0,8.0,2.75,1.3333333333333333,3.625,2.8,4.4,2.25,1,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.
74,60fadf64707bc7dcf61f9e54,arm4_interactive_training,3.0,70.0,W,E,16.0,1.0,39.5,0,1560.25,4.248495242049359,5.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,8.0,4.0,0.0,41.66666666666667,6.0,11.0,3.8333333333333335,3.6666666666666665,4.375,3.8,4.3,3.75,4,Some,Basically content,Most of the time,Government should do more to solve problems.
75,5f76586f6ce6850f223a25ab,arm2_written_techniques,3.0,10.0,W,U,14.0,0.0,29.5,0.0,870.25,2.302585092994046,8.0,1.0,3.0,2.0,6.0,6.0,1.0,1.0,3.0,5.0,1.0,5.0,3.0,9.0,0.0,66.66666666666666,4.0,9.0,3.9166666666666665,2.6666666666666665,4.875,4.0,4.8,3.75,5,Some,Frustrated,Only some of the time,Government should do more to solve problems.
76,608ca27f0fc273d395eb58bd,arm4_interactive_training,3.0,30.0,W,R,16.0,0.0,59.5,0,3540.25,3.401197381662155,10.0,1.0,1.0,4.0,6.0,7.0,1.0,2.0,4.0,6.0,2.0,5.0,5.0,7.0,0.0,83.33333333333334,6.0,12.0,2.5833333333333335,2.0,3.125,4.0,4.4,5.625,6,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.
77,5c9d2bed010c73001706aeaa,arm4_interactive_training,0.0,70.0,W,R,18.0,1.0,69.5,0.0,4830.25,4.248495242049359,7.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,8.0,0.0,58.33333333333334,4.0,8.0,2.8333333333333335,2.0,3.5,1.2,5.2,3.75,4,Quite a lot,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.
78,5de5dba9ff87c15699804260,arm3_existingssa,3.0,30.0,W,E,13.0,1.0,59.5,0.0,3540.25,3.401197381662155,8.0,2.0,2.0,3.0,5.0,6.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,7.0,0.0,66.66666666666666,4.0,12.0,3.5833333333333335,3.3333333333333335,4.125,3.8,5.7,3.0,5,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.
79,59e91cebae9f950001d8466a,arm4_interactive_training,1.0,60.0,W,E,13.0,0.0,29.5,1.0,870.25,4.0943445622221,11.0,1.0,0.0,5.0,6.0,7.0,2.0,2.0,5.0,6.0,2.0,5.0,6.0,6.0,0.0,91.66666666666666,4.0,10.0,2.9166666666666665,2.3333333333333335,3.5,3.0,4.6,3.875,5,Some,Frustrated,Most of the time,Government should do more to solve problems.
80,5d100e740277ff00152f7562,arm2_written_techniques,0.0,30.0,W,E,13.0,0.0,39.5,1.0,1560.25,3.401197381662155,5.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,3.0,6.0,6.0,0.0,41.66666666666667,4.0,5.0,2.6666666666666665,3.6666666666666665,2.625,2.2,1.9,1.5,4,None at all,Frustrated,Never,Government is doing too many things better left to businesses and individuals.
81,5d3a2d1da46f450019cdf5d3,arm2_written_techniques,1.0,30.0,W,E,13.0,0.0,59.5,0,3540.25,3.401197381662155,7.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,8.0,0.0,58.33333333333334,6.0,8.0,2.25,1.6666666666666667,2.75,3.6,3.0,1.5,1,Some,Frustrated,Never,Government should do more to solve problems.
82,5ee64e85c682de3a880579c6,arm2_written_techniques,3.0,60.0,W,R,16.0,1.0,69.5,0.0,4830.25,4.0943445622221,7.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,8.0,0.0,58.33333333333334,4.0,8.0,3.0,2.3333333333333335,3.625,3.8,2.6,1.5,3,Very little,Frustrated,Only some of the time,Government should do more to solve problems.
