StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,MetaInfo_Browser,MetaInfo_Version,MetaInfo_Operating System,MetaInfo_Resolution,PID,SuscPersuasion_1,SuscPersuasion_2,SuscPersuasion_3,SuscPersuasion_4,SuscPersuasion_5,SuscPersuasion_6,SuscPersuasion_7,SuscPersuasion_8,SuscPersuasion_9,SuscPersuasion_10,SuscPersuasion_11,SuscPersuasion_12,GenTrust_1,GenTrust_2,GenTrust_3,GenTrust_4,GenTrust_5,GenTrust_6,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,TrustInSSA_1,TrustInSSA_2,TrustInSSA_3,TrustInSSA_4,TrustInSSA_5,TrustInSSA_6,TrustInSSA_7,TrustInSSA_8,TrustInSSA_9,TrustInSSA_10,TrustInInternet_1,TrustInInternet_2,TrustInInternet_3,TrustInInternet_4,TrustInInternet_5,TrustInInternet_6,TrustInInternet_7,TrustInInternet_8,OnlineShopping,HonestyCheck,PROLIFIC_PID,UserAgent
3/3/2022 15:21,3/3/2022 15:25,IP Address,100,248,TRUE,3/3/2022 15:25,R_12f3IkGuKCOpFk6,,,,,anonymous,EN,Yes,,,,,5f4828d5ac8a902d7e4d56e2,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Slightly Agree,Slightly Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,None at all,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Once a month,"Yes, use the responses.",5f4828d5ac8a902d7e4d56e2,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1"
3/3/2022 15:19,3/3/2022 15:25,IP Address,100,352,TRUE,3/3/2022 15:25,R_1OJ3zva56RdoUmM,,,,,anonymous,EN,Yes,,,,,5ec9cf3ed4642d4ebb802b42,Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Once a month,"Yes, use the responses.",5ec9cf3ed4642d4ebb802b42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62"
3/3/2022 15:19,3/3/2022 15:27,IP Address,100,429,TRUE,3/3/2022 15:27,R_1kTWAfCtP39ler0,,,,,anonymous,EN,Yes,,,,,5bf45c3f3a46830001a68146,Strongly Disagree,Slightly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Some,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Once a week,"Yes, use the responses.",5bf45c3f3a46830001a68146,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 DuckDuckGo/7 Safari/605.1.15"
3/3/2022 15:24,3/3/2022 15:27,IP Address,100,190,TRUE,3/3/2022 15:27,R_3RjveuoKpFTNtQz,,,,,anonymous,EN,Yes,,,,,5f51667a8dff8f39dba7df7f,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Once a month,"Yes, use the responses.",5f51667a8dff8f39dba7df7f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
3/3/2022 15:39,3/3/2022 15:42,IP Address,100,163,TRUE,3/3/2022 15:42,R_3fDa03jJ9H7GAXv,,,,,anonymous,EN,Yes,,,,,5dae16d241fbb6001160ce72,Neither Agree nor Disagree,Slightly Agree,Disagree,Slightly Agree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Slightly Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Agree,Once a month,"Yes, use the responses.",5dae16d241fbb6001160ce72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
3/3/2022 15:40,3/3/2022 15:45,IP Address,100,253,TRUE,3/3/2022 15:45,R_10BfU1ar74wCxAF,,,,,anonymous,EN,Yes,,,,,5e1217864c81b289d5bc13b3,Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Some,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Once a month,"Yes, use the responses.",5e1217864c81b289d5bc13b3,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
3/3/2022 15:44,3/3/2022 15:47,IP Address,100,232,TRUE,3/3/2022 15:47,R_yQsC91UieSZplyp,,,,,anonymous,EN,Yes,,,,,5faea90eb7d1ac09a9d3c3ee,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Very little,Basically content,Never,Government should do more to solve problems.,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Disagree,Slightly Agree,Agree,Agree,Agree,Disagree,Few times a year,"Yes, use the responses.",5faea90eb7d1ac09a9d3c3ee,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1"
3/3/2022 15:44,3/3/2022 15:48,IP Address,100,248,TRUE,3/3/2022 15:48,R_1oaSYAXFfupRFLj,,,,,anonymous,EN,Yes,,,,,5e2f121d76887c011b5ec6c4,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Once a week,"Yes, use the responses.",5e2f121d76887c011b5ec6c4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
3/3/2022 15:45,3/3/2022 15:49,IP Address,100,283,TRUE,3/3/2022 15:49,R_BJ1aXqzBPCb3hp7,,,,,anonymous,EN,Yes,,,,,60c14a3e834adb62102cffa0,Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Strongly agree,Agree,None at all,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Few times a year,"Yes, use the responses.",60c14a3e834adb62102cffa0,"Mozilla/5.0 (X11; CrOS aarch64 14324.80.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.102 Safari/537.36"
3/3/2022 15:44,3/3/2022 15:51,IP Address,100,420,TRUE,3/3/2022 15:51,R_BXKiE4mBBOBpAwp,,,,,anonymous,EN,Yes,,,,,5df416a57bf5722f9a501255,Agree,Slightly Disagree,Slightly Agree,Disagree,Slightly Disagree,Disagree,Slightly Agree,Agree,Disagree,Slightly Agree,Slightly Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Once a week,"Yes, use the responses.",5df416a57bf5722f9a501255,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
3/3/2022 16:30,3/3/2022 16:33,IP Address,100,179,TRUE,3/3/2022 16:33,R_33pS7NLNmQ3fSBV,,,,,anonymous,EN,Yes,,,,,60ff9a9aad04eb7ef6cae70a,Slightly Agree,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Disagree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Few times a year,"Yes, use the responses.",60ff9a9aad04eb7ef6cae70a,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 DuckDuckGo/7 Safari/605.1.15"
3/3/2022 16:30,3/3/2022 16:33,IP Address,100,217,TRUE,3/3/2022 16:33,R_3NWWXzQvTZODjOS,,,,,anonymous,EN,Yes,,,,,580cab86b869700001d71628,,,,,,,,,,,,,,,,,,,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,,,,,,,,,Once a week,"Yes, use the responses.",580cab86b869700001d71628,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
3/3/2022 16:28,3/3/2022 16:34,IP Address,100,313,TRUE,3/3/2022 16:34,R_3KoN9mllrN9OhGr,,,,,anonymous,EN,Yes,,,,,5dfd35cb7bf572a2bb30b26f,Slightly Disagree,Slightly Agree,Disagree,Agree,Slightly Agree,Disagree,Agree,Disagree,Agree,Slightly Disagree,Slightly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Quite a lot,Frustrated,Most of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Few times a week/Daily,"Yes, use the responses.",5dfd35cb7bf572a2bb30b26f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15"
3/3/2022 16:30,3/3/2022 16:34,IP Address,100,250,TRUE,3/3/2022 16:34,R_3M0ui3lALLox0Th,,,,,anonymous,EN,Yes,,,,,5e5e11aed2420e129dc155ce,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Very little,Angry,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Disagree,Once a week,"Yes, use the responses.",5e5e11aed2420e129dc155ce,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36"
