,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
2707,2022-08-03 07:19:00,8/3/2022 7:21,IP Address,100,87,True,8/3/2022 7:21,R_ZLcIcgj6ymUIldD,,,,,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B152998,notSet,,B152998,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,0,,,,No to Consent: First Survey,False,,7,True
2713,2022-08-03 07:23:00,8/3/2022 7:48,IP Address,100,1541,True,8/3/2022 7:48,R_29aC964C2QDJMkM,,,,,anonymous,EN,Yes,,,Chrome,103.0.0.0,Android 12,385x854,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Strongly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,Once a month,B447117,arm1_control,,B447117,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 7:48,8/3/2022 7:50,IP Address,100.0,106.0,True,8/3/2022 7:50,R_30f1BaiSDDLJw4W,,,,,anonymous,EN,"Disabled, not able to work","$20,000 - $39,999",African American or African (Non-Hispanic),Some college but no degree,60.0,Female,True,,Click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,4,3.0,,,Incomplete: Third Survey,False,,7,True
2708,2022-08-03 07:26:00,8/3/2022 7:26,IP Address,100,13,True,8/3/2022 7:26,R_3hrmEBKOtAEJO0f,,,,,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B365060,notSet,,B365060,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,0,,,,No to Consent: First Survey,False,,7,True
2752,2022-08-03 07:26:00,8/3/2022 7:29,IP Address,55,203,False,8/4/2022 7:29,R_3R4Q3Ig38RbZSxw,,,,,anonymous,EN,Yes,,,Safari iPhone,15.6,iPhone,375x812,Very little,Frustrated,Never,Government should do more to solve problems.,Slightly Disagree,Disagree,Agree,Disagree,Slightly Agree,Agree,Strongly Agree,Disagree,Slightly Agree,Agree,Agree,Slightly Agree,Agree,Agree,Disagree,Agree,Agree,Slightly Disagree,,B70154,notSet,,B70154,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,1,,,,Incomplete: First Survey,False,,6,True
2709,2022-08-03 07:27:00,8/3/2022 7:30,IP Address,100,181,True,8/3/2022 7:30,R_3nuRghNODpzBMLD,,,,,anonymous,EN,Yes,,,Safari iPhone,15.6,iPhone,375x812,Some,Basically content,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,B800103,arm2_generalinfo,,B800103,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 7:30,8/3/2022 7:31,IP Address,100.0,42.0,True,8/3/2022 7:31,R_3NODrB7pGrR1Yf3,,,,,anonymous,EN,Retired,"$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,71.0,Male,True,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,,,,True,False,8/3/2022 7:34,8/3/2022 7:35,IP Address,100.0,82.0,True,8/3/2022 7:36,R_3EhVwifxKR3GlOo,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,1,0.0,1.0,0.0,Keep,False,False,7,True
2710,2022-08-03 07:33:00,8/3/2022 7:35,IP Address,100,163,True,8/3/2022 7:35,R_3F3PnLaeSDIZPra,,,,,anonymous,EN,Yes,,,Chrome,103.0.0.0,Windows NT 10.0,1280x1024,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Agree,Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,A few times a week / Daily,B423814,arm4_interactive,,B423814,0,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,True,True,8/3/2022 7:38,8/3/2022 7:39,IP Address,100.0,34.0,True,8/3/2022 7:39,R_8e2AEgagnmwQzLP,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,38.0,Female,True,Scam,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,8/3/2022 7:41,8/3/2022 7:43,IP Address,100.0,123.0,True,8/3/2022 7:43,R_2cu3HV9r7HhK1HA,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,100,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,1,0.0,3.0,0.0,Keep,False,False,7,True
2712,2022-08-03 07:34:00,8/3/2022 7:40,IP Address,100,340,True,8/3/2022 7:40,R_dnV3lp31QVG4tG1,,,,,anonymous,EN,Yes,,,Safari,4,Android 12,360x800,Very little,Frustrated,Never,Government should do more to solve problems.,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,B176533,arm4_interactive,,B176533,0,0,Real,,,Real,,,Real,,,,,,,,,,,,,,,,,,True,False,8/3/2022 7:50,8/3/2022 7:51,IP Address,100.0,70.0,True,8/3/2022 7:51,R_3lWiPZ7yikdOPqd,,,,,anonymous,EN,"Disabled, not able to work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",62.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,True,True,8/3/2022 8:00,8/3/2022 8:05,IP Address,100.0,316.0,True,8/3/2022 8:05,R_1GU2wv7140hMRd0,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,3,2.0,4.0,0.0,Keep,False,False,7,True
2711,2022-08-03 07:35:00,8/3/2022 7:38,IP Address,100,189,True,8/3/2022 7:38,R_3oSyu5SijwQb4jY,,,,,anonymous,EN,Yes,,,Chrome,103.0.0.0,Android 12,412x869,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,B487499,arm3_tips,,B487499,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 7:38,8/3/2022 7:39,IP Address,100.0,46.0,True,8/3/2022 7:39,R_3IQZGnW2Y5PeiU1,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",37.0,Male,True,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,True,True,8/3/2022 7:41,8/3/2022 7:43,IP Address,100.0,87.0,True,8/3/2022 7:43,R_25HGjpO85Fym1v4,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,1,1.0,2.0,0.0,Keep,False,False,7,True
2714,2022-08-03 07:43:00,8/3/2022 7:50,IP Address,100,396,True,8/3/2022 7:50,R_aWrqrBsO7i9Y8db,,,,,anonymous,EN,Yes,,,Safari,4,Android 12,360x800,Very little,Frustrated,Never,Government should do more to solve problems.,Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,B176533,arm2_generalinfo,,B176533,0,0,Real,,,Real,,,Real,,,,,,,,,,,,,,,,,,True,False,8/3/2022 7:50,8/3/2022 7:51,IP Address,100.0,70.0,True,8/3/2022 7:51,R_3lWiPZ7yikdOPqd,,,,,anonymous,EN,"Disabled, not able to work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",62.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,True,True,8/3/2022 8:00,8/3/2022 8:05,IP Address,100.0,316.0,True,8/3/2022 8:05,R_1GU2wv7140hMRd0,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,3,2.0,4.0,0.0,Dup PID within current Version,False,True,7,True
2715,2022-08-03 07:57:00,8/3/2022 8:02,IP Address,100,311,True,8/3/2022 8:02,R_1ozn6nat3XZ38qT,,,,,anonymous,EN,Yes,,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Some,Basically content,Just about always,Government should do more to solve problems.,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,A few times a week / Daily,B633153,arm2_generalinfo,,B633153,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/3/2022 8:02,8/3/2022 8:03,IP Address,100.0,73.0,True,8/3/2022 8:03,R_3dEoUfQ241Ahfk3,,,,,anonymous,EN,"Disabled, not able to work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,53.0,Female,True,Real,,,Real,Click,,Real,,,Real,,,Real,,Details,Real,Click,,Real,,Details,Real,,,Real,,,,,,True,False,8/3/2022 8:11,8/3/2022 8:13,IP Address,100.0,94.0,True,8/3/2022 8:13,R_3ozFv3etohEOCix,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,Yes,No,Often,Often,Often,"Yes, use the responses.",True,1,True,3,2.0,2.0,0.0,Keep,False,False,7,True
